aa	ɑ ɑ
acetabuliferous	æ s ɪ t æ b j u l ɪ f ə ɹ ʊ s
acetabuliform	æ s ɪ t æ b j u l ɪ f ɔ m
acetabulum	æ s ə t æ b j ə l ə m
acetal	æ s ɪ t æ l
acetaldehyde	æ s ɪ t æ l d ə h a ɪ d
acetaminophen	ə s i t ə m ɪ n ə f ə n
acetarious	ɑ s ɪ t ɛ ɚ i ə s
acetary	ə s i t ə ɹ i
acetifier	ə s i t ɪ f a ɪ ə ɹ
acetize	æ s ə t a ɪ z
acetone	æ s ə t o ʊ n
acetose	æ s ɪ t o ʊ s
acetylene	ə s ɛ t ə l i n
achaean	ə k i ə n
achaemenes	ə k ɛ m ə n i z
achean	ə k i ə n
ached	e ɪ k t
achelous	æ k i l o ʊ ə s
aches	e ɪ k s
achier	e ɪ k i ɚ
achievance	ə t͡ʃ i v ə n s
achieved	ə t͡ʃ i v d
achievement	ə t͡ʃ i v m ə n t
achievements	ə t͡ʃ i v m ə n t s
achieves	ə t͡ʃ i v z
achieving	ə t͡ʃ i v ɪ ŋ
achievings	ə t͡ʃ i v ɪ ŋ z
achilles	ə k ɪ l i z
achilous	e ɪ k a ɪ l ə s
aching	e ɪ k ɪ ŋ
achings	e ɪ k ɪ ŋ z
achondroplasia	e ɪ k ɔ n d ɹ o ʊ p l e ɪ z i ə
achondroplastic	e ɪ k ɑ n d ɹ ə p l æ s t ɪ k
achromat	æ k ɹ o ʊ m æ t
achromatic	æ k ɹ o ʊ m æ t ɪ k
achronic	e ɪ k ɹ ɔ n ɪ k
achy	e ɪ k i
aciclovir	e ɪ s a ɪ k l o ʊ v ɪ ɹ
acid	æ s ɪ d
acidic	ə s ɪ d ɪ k
acidification	ə s ɪ d ɪ f ɪ k e ɪ ʃ ə n
acidophil	ə s ɪ ɾ ə f ɪ l
acidophilic	æ s ɪ ɾ o ʊ f ɪ l ɪ k
acids	æ s ɪ d z
acidulate	ə s ɪ d͡ʒ ʊ l e ɪ t
acing	e ɪ s ɪ ŋ
ackers	æ k ə z
acknowledge	æ k n ɑ l ɪ d͡ʒ
acks	æ k s
acma	e ɪ s i ə m e ɪ
acme	æ k m i
acmeism	æ k m i ɪ z ə m
acne	æ k n i
acock	ə k ɔ k
acoelomic	e ɪ s i l ɔ m ɪ k
acolyte	æ k ə l a ɪ t
acolyth	æ k ə l a ɪ θ
aconite	æ k ə n a ɪ t
acop	ə k ɔ p
acoustic	ə k u s t ɪ k
acoustics	ə k u s t ɪ k s
acquaint	ə k w e ɪ n t
acquaintance	ʌ k w e ɪ n t ə n s
acquaintant	ə k w e ɪ n t ə n t
acquainted	ə k w e ɪ n t ɪ d
acquest	ə k w ɛ s t
acquiesce	æ k w i ɛ s
acquire	ə k w a ɪ ə ɹ
acquired	ə k w a ɪ ɹ d
acquirement	ə k w a ɪ ə ɹ m ə n t
acquiring	ə k w a ɪ ə ɹ ɪ ŋ
acquis	ɑ k i
acquisitory	ə k w ɪ z ɪ t ɔ ɹ i
acquit	ə k w ɪ t
acquits	ə k w ɪ t s
acrasia	ə k ɹ e ɪ z i ə
acrid	æ k ɹ ɪ d
acrimonious	æ k ɹ ɪ m o ʊ̯ n i ə s
acrocyanosis	æ k ɹ o ʊ s a ɪ ə n o ʊ s ɪ s
acrogynous	ə k ɹ ɑ d͡ʒ i n ə s
acrolect	æ k ɹ ə l ɛ k t
acromegalic	æ k ɹ o ʊ m ɪ ɡ æ l ɪ k
acronym	æ k ɹ ə n ɪ m
acrook	ə k ɹ ʊ k
acrophobe	æ k ɹ ə f o ʊ b
acropoleis	æ k ɹ ɔ p ɔ l ɛ ɪ z
acropolises	æ k ɹ ɔ p ɔ l ɪ s ɪ z
across	ə k ɹ ɔ s
acrostic	ə k ɹ ɔ s t ɪ k
acrylic	ə k ɹ ɪ l ɪ k
acrylics	ə k ɹ ɪ l ɪ k s
act	æ k t
acted	æ k t ɪ d
acter	æ k t ɚ
actially	æ k ʃ ə l i
acting	æ k t ɪ ŋ
actings	æ k t ɪ ŋ z
actinide	æ k t ɪ n a ɪ d
actinium	æ k t ɪ n i ə m
action	æ k ʃ ə n
actional	æ k ʃ ə n ə l
actionee	æ k ʃ ə n i
actions	æ k ʃ ə n z
actium	æ k t i ə m
activate	æ k t ɪ v e ɪ t
activation	æ k t ə v e ɪ ʃ ə n
active	æ k t ɪ v
activistic	æ k t ɪ v ɪ s t ɪ k
actless	æ k t l ə s
actor	æ k t ɚ
actress	æ k t ɹ ə s
actual	æ k t͡ʃ ə w ə l
actuate	æ k t͡ʃ u e ɪ t
acuity	ə k j u ɪ t i
acumination	ə k j u m ɪ n e ɪ ʃ ə n
acupuncture	æ k j u p ʌ ŋ k t͡ʃ ɝ
acushla	ə k ʊ ʃ l ə
acute	ə k j u t
acutely	ə k j u t l ɪ
acyl	æ s ɪ l
acyrologia	ə s ɪ ɹ ə l ɔ d͡ʒ i ə
acyrology	æ s ɪ ɹ ɔ l ə d͡ʒ i
ad	æ d
ada	e ɪ d ə
adage	æ d ɪ d͡ʒ
adalimumab	e ɪ d ə l ɪ m j ə m æ b
adam	æ d ə m
adapalene	ə d æ p ə l i n
adapiform	ə d æ p ɪ f ɔ ɹ m
adapt	ə d æ p t
adaptable	ə d æ p t ə b ə l
adaptation	æ d æ p t e ɪ ʃ ə n
adapted	ə d æ p t ɪ d
adapter	ə d a p t ə
add	æ d
addend	æ d ɛ n d
addendum	ə d ɛ n d ə m
addicted	ə d ɪ k t ɪ d
addicting	ə d ɪ k t ɪ ŋ
addiction	ə d ɪ k ʃ ə n
addictive	ə d ɪ k t ɪ v
adding	æ d ɪ ŋ
addison	æ d ɪ s ə n
additional	ə d ɪ ʃ ə n ə l
additionary	ə d ɪ ʃ ə n ɛ ɹ i
additions	ə d ɪ ʃ ə n z
addle	æ d ə l
addled	æ d ə l d
addles	æ d ə l z
addoom	ə d u m
addressed	ə d ɹ ɛ s t
addressing	ə d ɹ ɛ s ɪ ŋ
adds	æ d z
adduce	ə d j u s
adduction	ə d ʌ k ʃ n̩
adductor	ə d ʌ k t ə ɹ
ade	e ɪ d
adelaide	æ d ə l e ɪ d
adele	ə d ɛ l
adeling	æ d ə l ɪ ŋ
adelings	æ d ə l ɪ ŋ z
adenines	æ d ɪ n ɪ n z
adenitis	æ d ə n a ɪ t ɪ s
adenoma	æ d ə n o ʊ m ʌ
adenopathy	æ d ə n ɑ p ə θ i
adenylate	ə d ɛ n ə l e ɪ t
adepts	æ d ɛ p t s
adermatoglyphia	e ɪ d ɝ m ə t ə ɡ l ɪ f i ə
adherent	æ d h ɪ ə ɹ ə n t
adhesive	æ d h i s ɪ v
adhibit	ə d h ɪ b ɪ t
adhibition	æ d h ɪ b ɪ ʃ ə n
adhocrat	æ d h ə k ɹ æ t
adhocratic	æ d h ə k ɹ æ d ɪ k
adhocratical	æ d h ə k ɹ æ d ɪ k ə l
adhocratically	æ d h ə k ɹ æ d ɪ k ə l i
adianoeta	e ɪ d a ɪ ə n o ʊ i t ə
adiaphanous	æ d ɪ æ f ə n ə s
adight	ə d a ɪ t
adipocytokine	æ d ɪ p o ʊ s a ɪ t o ʊ k a ɪ n
adipose	æ d ɪ p o ʊ s
adit	æ d ɪ t
adits	æ d ɪ t s
adjacent	ə d͡ʒ e ɪ s ə n t
adjara	ə d͡ʒ ɑ ɹ ə
adjectivally	æ d͡ʒ ɛ k t a ɪ v ə l i
adjoint	æ d͡ʒ ɔ ɪ n t
adjourn	ə d͡ʒ ɝ n
adjudge	ə d͡ʒ ʌ d͡ʒ
adjudicate	ə d͡ʒ u d ɪ k e ɪ t
adjudication	ə d d͡ʒ u d ɪ k e ɪ ʃ ə n
adjudicators	æ d͡ʒ u d ɪ k e ɪ t ɔ ɹ z
adjunct	æ d͡ʒ ʌ ŋ k t
adjust	ə d͡ʒ ʌ s t
adjusted	ə d͡ʒ ʌ s t ɪ d
adjusting	ə d͡ʒ ʌ s t ɪ ŋ
adjustings	ə d͡ʒ ʌ s t ɪ ŋ z
adjustment	ə d͡ʒ ʌ s t m ə n t
adjusts	ə d͡ʒ ʌ s t s
adjutant	æ d͡ʒ ə t ə n t
adjutants	æ d͡ʒ ə t ə n t s
adjute	ə d͡ʒ u t
adjuvant	æ d͡ʒ ə v ə n t
adle	e ɪ d ə l
adless	æ d l ə s
adluminal	æ d l u m ɪ n ə l
administrate	ə d m ɪ n ɪ s t ɹ e ɪ t
administration	ə d m ɪ n ə s t ɹ e ɪ ʃ ə n
administrative	ə d m ɪ n ə s t ɹ e ɪ ɾ ɪ v
administratorship	æ d m ɪ n ə s t ɹ e ɪ t ɚ ʃ ɪ p
administratrix	æ d m ɪ n ɪ s t ɹ e ɪ t ɹ ɪ k s
admirability	æ d m ɪ ɹ ə b ɪ l ɪ t i
admirably	æ d m ɪ ɹ ə b l i
admiralty	æ d m ɪ ɹ ə l t i
admirer	æ d m a ɪ ɚ ɹ ɚ
admirers	æ d m a ɪ ɚ ɚ z
admission	æ d m ɪ ʃ ə n
admit	ə d m ɪ t
admits	ə d m ɪ t s
admittance	ə d m ɪ t n̩ s
admitted	ə d m ɪ t ɪ d
admitting	ə d m ɪ t ɪ ŋ
ado	ə d u
adobe	ə d o ʊ b i
adolescence	æ d ə l ɛ s ə n s
adolescent	æ d ə l ɛ s ə n t
adonides	ə d ɔ n ɪ d i z
adoption	ə d ɑ p ʃ ə n
adorable	ə d ɔ ɹ ə b ə l
adorableness	ə d ɔ ɹ ə b ə l n ə s
adorably	ə d ɔ ɹ ə b l i
adorb	ə d ɔ ɹ b
adore	ə d ɔ ɹ
adored	ə d ɔ ɹ d
adorkable	ʌ d ɔ ɹ k ə b l̩
adorn	ə d ɔ ɹ n
adorned	ə d ɔ ɹ n d
adown	ə d a ʊ n
adoxograph	e ɪ d ɑ k s ɑ ɡ ɹ æ f
adoxographical	e ɪ d ɑ k s ɑ ɡ ɹ æ f i k ə l
adoxographically	e ɪ d ɑ k s ɑ ɡ ɹ æ f i k ə l i
adposition	æ d p ə z ɪ ʃ ə n
adraw	ə d ɹ ɔ
adread	ə d r e d
adrenaline	ə d ɹ ɛ n ə l ɪ n
adriamycin	e ɪ d ɹ ɪ ə m a ɪ s ɪ n
adrift	ə d ɹ ɪ f t
adrip	ə d ɹ ɪ p
adroop	ə d ɹ u p
ads	æ d z
adsorbate	ə d s ɔ b e ɪ t
adsorptional	æ d z ɔ ɹ p ʃ ə n ə l
adulate	æ d͡ʒ ə l e ɪ t
adulterer	ə d ʌ l t ə ɹ ɚ
adulterousness	ə d ʌ l t ə ɹ ə s n ə s
adultery	ə d ʌ l t ə ɹ i
adults	ə d ʌ l t s
adumbrate	æ d ʌ m b ɹ e ɪ t
adumbration	æ d ə m b ɹ e ɪ ʃ ə n
adunc	æ d ʌ n k
adustible	ə d ʌ s t ɪ b ə l
advaita	ə d v a ɪ t ə
advance	ə d v æ n s
advanced	ə d v æ n s t
advancer	ə d v æ n s ɚ
advancing	ə d v æ n s ɪ ŋ
advantage	ə d v æ n t ɪ d͡ʒ
advantages	ə d v æ n t ɪ d͡ʒ ɪ z
advection	æ d v ɛ k ʃ ə n
adventurer	æ d v ɛ n t͡ʃ ɚ ɚ
adventurous	æ d v ɛ n t͡ʃ ɚ ʌ s
adverb	æ d v ɝ b
adverbial	æ d v ɝ b i ə l
advertise	æ d v ɚ t a ɪ z
advertising	æ d v ə ɹ t a ɪ z ɪ ŋ
advesperate	æ d v ɛ s p ə ɹ e ɪ t
advice	æ d v a ɪ s
advisability	æ d v a ɪ z ə b ɪ l ə t i
advise	ə d v a ɪ z
advised	ə d v a ɪ z d
adviser	æ d v a ɪ z ɚ
advisor	æ d v a ɪ z ɚ
advocacy	æ d v ə k ə s i
adward	ə d w ɔ ɹ d
adygea	ɑ d ɪ ɡ e ɪ ə
adynaton	æ d ə n ɑ t n̩
adytum	a d ə t ə m
adze	æ d z
adzed	æ d z ə d
aeaea	i i ə
aeap	e ɪ i e ɪ p i
aedile	i d a ɪ l
aegean	i d͡ʒ i ə n
aegina	i d͡ʒ a ɪ n ə
aegyptus	i d͡ʒ ɪ p t ə s
aelita	a ɪ̯ l i t ə
aeneas	ɪ n i ə s
aeolic	i ɑ l ɪ k
aeolipile	i o ʊ l ɪ p ʌ ɪ l
aeolipiles	i o ʊ l ɪ p ʌ ɪ l z
aeolipyle	i o ʊ l ɪ p ʌ ɪ l
aeolus	i o ʊ l ə s
aerial	ɛ ɹ i ə l
aero	ɛ ɹ o ʊ
aerobics	ə ɹ o ʊ b ɪ k s
aerocolpos	ɛ ɹ o ʊ k ɔ l p ɔ s
aerofoil	ɛ ɹ ə f ɔ ɪ l
aerolite	ɛ ɹ ə l a ɪ t
aerolites	ɛ ɹ ə l ʌ ɪ t s
aeronautic	æ ɹ o n ɔ t ɪ k
aeroplanes	e ə ɹ ə p l e ɪ n z
aerostatic	e ɪ ə ɹ o ʊ s t æ t ɪ k
aery	ɛ ɹ i
aeschylus	ɛ s k ə l ə s
aesop	i s ɔ p
aesopian	i s o ʊ p i ə n
aesthetic	ɛ s θ ɛ t ɪ k
aesthetics	ɛ s θ ɛ t ɪ k s
aestivation	i s t ɪ v e ɪ ʃ ə n
aether	i θ ɚ
aetiology	i t i ɑ l ə d͡ʒ i
aetites	i t a ɪ d i z
aetna	ɛ t n ə
aetolia	i t o ʊ l i ə
aface	ə f e ɪ s
afare	ə f ɛ ɹ
afeared	ə f ɪ ə ɹ d
affairs	ə f ɛ ɹ z
affamish	ə f æ m ɪ ʃ
affectation	æ f ɛ k t e ɪ ʃ ə n
affected	ə f ɛ k t ɪ d
affecting	ə f ɛ k t ɪ ŋ
affection	ə f ɛ k ʃ ə n
affectionately	ə f ɛ k ʃ ə n ə t l i
affectioned	ə f ɛ k ʃ n̩ d
affections	ə f ɛ k ʃ ə n z
affective	ə f ɛ k t ɪ v
afference	æ f ə ɹ ə n s
affiant	ə f a ɪ ə n t
affiliation	ə f ɪ l i e ɪ ʃ ə n
affine	ə f a ɪ n
affinity	ə f ɪ n ɪ t i
affirm	ə f ɝ m
affirmation	æ f ɝ m e ɪ ʃ n
affirmative	ə f ɝ m ə t ɪ v
afflatus	ə f l e ɪ t ə s
afflict	ə f l ɪ k t
afflicted	ə f l ɪ k t ɪ d
affluence	æ f l u ə n s
affluenza	æ f l u ɛ n z ə
affluenzic	æ f l u ɛ n z ɪ k
affordable	ə f ɔ ɹ d ə b ə l
afforded	ə f ɔ ɹ d ɪ d
affords	ə f ɔ ɹ d z
affray	ə f ɹ e ɪ
affret	ə f ɹ ɛ t
affrication	æ f ɹ ɪ k e ɪ ʃ ə n
affriended	ə f ɹ ɛ n d ɪ d
affright	ə f ɹ a ɪ t
affrighten	ə f ɹ a ɪ t ə n
affront	ə f ɹ ʌ n t
affrontive	ə f ɹ ʌ n t ɪ v
affuse	ə f j u z
afgod	æ f ɡ ɔ d
afield	ə f i l d
afire	ə f a ɪ ə ɹ
afk	e ɪ ɛ f k e ɪ
afl	e ɪ ɛ f ɛ l
aflame	ə f l e ɪ m
aflare	ə f l ɛ ɹ
aflash	ə f l æ ʃ
aflat	ə f l æ t
aflaunt	ə f l ɔ n t
aflight	ə f l a ɪ t
afloat	ə f l o ʊ t
aflop	ə f l ɔ p
aflow	ə f l o ʊ
aflower	ə f l a ʊ ə ɹ
aflush	ə f l ʌ ʃ
aflutter	ə f l ʌ t ɚ
afoam	ə f o ʊ m
afoot	ə f ʊ t
afore	ə f ɔ ɹ
afoul	ə f a ʊ l
afresh	ʌ f ɹ ɛ ʃ
africa	æ f ɹ ɪ k ə
african	æ f ɹ ɪ k ə n
africom	æ f ɹ ɪ k ɑ m
afrikaans	ɑ f ɹ ɪ k ɑ n z
afroed	æ f ɹ o ʊ d
after	æ f t ɚ
afterbirth	æ f t ɚ b ɚ θ
aftercare	æ f t ɚ k ɛ ɹ
afterlife	æ f t ɚ l a ɪ f
aftermath	æ f t ɚ m æ θ
afternoon	æ f t ɚ n u n
afterward	æ f t ɚ w ɚ d
afterwards	æ f t ɚ w ɚ d z
ag	æ ɡ
aga	ɑ ɡ ə
against	ə ɡ ɛ n s t
agami	æ ɡ ə m i
aganactesis	æ ɡ ə n æ k t i s ɪ s
agaricology	ə ɡ æ ɹ ɪ k ɔ l ə d͡ʒ i
agartala	ə ɡ ə ɹ t ə l ə
agatha	æ ɡ ə θ ə
agbada	æ ɡ b ɑ d ə
age	e ɪ d͡ʒ
ageful	e ɪ d͡ʒ f ʊ l
agelast	e ɪ d͡ʒ ə l æ s t
agenbite	ə ɡ ɛ n b ʌ ɪ t
agency	e ɪ d͡ʒ ə n s i
agenda	ə d͡ʒ ɛ n d ə
agendum	ə d͡ʒ ɛ n d ə m
agents	e ɪ d͡ʒ ə n t s
ageplay	e ɪ d͡ʒ p l e ɪ
ager	e ɪ d͡ʒ ɚ
ages	e ɪ d͡ʒ ɪ z
aggest	ə d͡ʒ ɛ s t
aggie	æ ɡ i
agglutinin	ə ɡ l u t ɪ n ɪ n
aggrace	ə ɡ ɹ e ɪ s
aggrandize	ə ɡ ɹ æ n d a ɪ̯ z
aggravate	æ ɡ ɹ ə v e ɪ̯ t
aggregation	æ ɡ ɹ ə ɡ e ɪ ʃ ə n
aggress	ə ɡ ɹ ɛ s
aggression	ə ɡ ɹ ɛ ʃ ə n
aggressive	ə ɡ ɹ ɛ s ɪ v
aggrieve	ʌ ɡ ɹ i v
aggro	æ ɡ ɹ o ʊ
aghast	ə ɡ æ s t
agin	ə ɡ ɪ n
aging	e ɪ d͡ʒ ɪ ŋ
agings	e ɪ d͡ʒ ɪ ŋ z
aginner	ə ɡ ɪ n ə ɹ
agistment	e ɪ d͡ʒ ɪ s t m ə n t
agitate	æ d͡ʒ ɪ t e ɪ t
agitated	æ d͡ʒ ɪ t e ɪ t ɪ d
agitation	æ d͡ʒ ɪ t e ɪ ʃ ə n
agitolalia	æ d͡ʒ ɪ t o ʊ l e ɪ l i ə
agitophasia	æ d͡ʒ ɪ t o ʊ f e ɪ ʒ ə
agitprop	æ d͡ʒ ə t p ɹ ɑ p
agitpropping	æ d͡ʒ ə t p ɹ ɑ p ɪ ŋ
agleam	ə ɡ l i m
aglimmer	ə ɡ l ɪ m ə ɹ
aglitter	ə ɡ l ɪ t ə ɹ
aglow	ə ɡ l o ʊ
agnath	æ ɡ n ə θ
agnathia	æ ɡ n e ɪ θ i ə
agnathic	æ ɡ n æ θ ɪ k
agnathous	æ ɡ n ə θ ə s
agnew	æ ɡ n u
agnogenic	æ ɡ n ə d͡ʒ ɛ n ɪ k
agnostic	æ ɡ n ɑ s t ɪ k
agnosticism	æ ɡ n ɑ s t ɪ s ɪ z ə m
ago	ə ɡ o ʊ
agog	ə ɡ ɑ ɡ
agon	æ ɡ o ʊ n
agonism	æ ɡ ə n ɪ z ə m
agonous	æ ɡ ə n ə s
agony	æ ɡ ə n i
agood	ə ɡ ʊ d
agorism	æ ɡ ə ɹ ɪ z m̩
agouti	ə ɡ u t i
agraffe	ə ɡ ɹ æ f
agrarian	ə ɡ ɹ ɛ ɹ i ə n
agreeable	ə ɡ ɹ i ə b l
agrees	ə ɡ ɹ i z
agribusiness	æ ɡ ɹ ɪ b ɪ z n ə s
agricultural	æ ɡ ɹ ɪ k ʌ l t͡ʃ ə ɹ ə l
agriculture	æ ɡ ɹ ɪ k ʌ l t͡ʃ ɚ
agrief	ə ɡ ɹ i f
agrimony	æ ɡ ɹ ɪ m o ʊ n i
agrins	æ ɡ ɹ ɪ n z
agrippa	ə ɡ ɹ ɪ p ə
agrobusiness	æ ɡ ɹ o ʊ b ɪ z n ə s
agrology	ə ɡ ɹ ɑ l ə d͡ʒ i
agronomial	æ ɡ ɹ ə n o ʊ m ɪ ə l
agronomist	ə ɡ ɹ ɑ n ə m ɪ s t
agronomy	ə ɡ ɹ ɑ n ə m i
agrope	ə ɡ ɹ o ʊ p
ague	e ɪ ɡ j u
agush	ə ɡ ʌ ʃ
ahab	e ɪ h æ b
aheap	ə h i p
aheight	ə h a ɪ t
ahi	ɑ h i
ahigh	ə h a ɪ
ahimsa	ə h ɪ m s ɑ
ahis	ɑ h i z
ahistorical	e ɪ h ɪ s t ɔ ɹ ɪ k ə l
ahold	ə h o ʊ l d
ahorse	ə h ɔ ɹ s
ahorseback	ə h ɔ ɹ s b æ k
aidan	e ɪ d ə n
aidant	e ɪ d ə n t
aided	e ɪ d ɪ d
aiding	e ɪ d ɪ ŋ
aids	e ɪ d z
aiglet	e ɪ ɡ l ɛ t
aigrette	e ɪ ɡ ɹ ɪ t
aiguillette	e ɪ ɡ w ɪ l ɛ t
aikido	a ɪ k i d o ʊ
ail	e ɪ l
ailed	e ɪ l d
ailing	e ɪ l ɪ ŋ
ailings	e ɪ l ɪ ŋ z
aillt	a ɪ l t
aillts	a ɪ l t s
ailment	e ɪ l m ə n t
ails	e ɪ l z
aim	e ɪ m
aimed	e ɪ m d
aiming	e ɪ m ɪ ŋ
aimless	e ɪ m l ə s
aims	e ɪ m z
ainslie	e ɪ n z l i
ainsworth	e ɪ n z w ɝ θ
aintree	e ɪ n t ɹ i
airan	a ɪ ɹ ɑ n
airans	a ɪ ɹ ɑ n z
aires	e ɹ z
airily	e ɹ ə l i
airing	ɛ ɹ ɪ ŋ
airling	ɛ ɹ l ɪ ŋ
airplane	ɛ ɹ p l e ɪ̯ n
airport	ɛ ɹ p ɔ ɹ t
airprox	ɛ ɹ p ɹ ɔ k s
airs	e ɹ z
airy	ɛ ɹ i
aisha	a ɪ i ʃ ə
aisle	a ɪ̯ l
aisles	a ɪ l z
aisleway	a ɪ l w e ɪ
aisling	æ ʃ l ɪ ŋ
ait	e ɪ t
aitch	e ɪ t͡ʃ
aithochrous	ʌ ɪ θ o ʊ k ɹ ə s
aitkin	e ɪ k ɪ n
aiyo	a ɪ j o ʊ
ajar	ə d͡ʒ ɑ ɹ
ajingle	ə d͡ʒ ɪ ŋ ɡ ə l
ajoene	ɑ h o ʊ i n
ajog	ə d͡ʒ ɔ ɡ
ajvar	a ɪ v ɑ ɹ
akasha	ɑ k ɑ ʃ ə
akathisia	æ k ə θ ɪ s i ə
akhenaten	æ k ə n ɑ t ə n
akimbo	ə k ɪ m b o ʊ
akin	ʌ k ɪ n
akkadian	ə k e ɪ d i ə n
aknee	ə n i
akoasm	æ k o ʊ æ z ə m
akropolis	æ k ɹ ɔ p ɔ l ɪ s
akropolises	æ k ɹ ɔ p ɔ l ɪ s ɪ z
akroposthion	æ k ɹ o ʊ p ɔ s θ ɪ ə n
alabama	æ l ə b æ m ə
alabamian	æ l ə b æ m i ə n
alabaster	æ l ə b æ s t ɚ
alack	ə l æ k
alamo	æ l ə m o ʊ
alan	æ l ə n
alanyl	æ l ə n ɪ l
alarm	ə l ɑ ɹ m
alarmed	ə l ɑ ɹ m d
alarming	ə l ɑ ɹ m ɪ ŋ
alarmingly	ə l ɑ ɹ m ɪ ŋ l i
alarmist	ə l ɑ ɹ m ɪ s t
alary	e ɪ l ə ɹ i
alas	ə l æ s
alaska	ə l æ s k ə
alaskan	ə l æ s k ə n
alastair	æ l ə s t ɚ
alb	æ l b
albacore	æ l b ə k ɔ ɹ
albanian	æ l b e ɪ n i ə n
albatross	æ l b ə t ɹ ɔ s
albay	ə l b a ɪ
albedo	æ l b i d o ʊ
albemarle	æ l b ə m ɑ ɹ l
albert	æ l b ɚ t
albescent	a l b ɛ s ə n t
albino	æ l b a ɪ n o ʊ
albion	æ l b i ə n
albumin	æ l b j u m ə n
albuquerque	æ l b ə k ə ɹ k i
albury	ɔ l b ə ɹ i
albuterol	æ l b j u t ə ɹ ɔ l
alcaic	æ l k e ɪ ɪ k
alcatraz	æ l k ə t ɹ æ z
alcedine	æ l s ə d ʌ ɪ n
alchemist	æ l k ə m ɪ s t
alchemistic	æ l k ə m ɪ s t ə k
alchemistical	æ l k ə m ɪ s t ɪ k ə l
alchemists	æ l k ə m ɪ s t s
alchemy	æ l k ə m i
alcibiades	æ l s ə b a ɪ ə d i z
alcmena	æ l k m i n ə
alcopop	æ l k o ʊ p ɔ p
alcove	æ l k o ʊ v
alcyone	æ l s a ɪ ə n i
aldehyde	æ l d i h a ɪ d
aldehydes	æ l d i h a ɪ d z
aldreth	ɔ l d ɹ ə θ
ale	e ɪ l
alectryomachy	ə l ɛ k t ɹ i ɔ m ə k i
alecy	e ɪ l s i
alee	ə l i
alef	ɑ l ɛ f
aleglitazar	æ l ə ɡ l ɪ t ə z ɑ ɹ
aleister	æ l i s t ɚ
alejandro	æ l ə h ɑ n d ɹ o ʊ
alembic	ə l ɛ m b ɪ k
alemtuzumab	æ l ɛ m t u z u m æ b
alendronate	ə l ɛ n d ɹ ə n e ɪ t
alep	ə l ɛ p
aleppo	ə l ɛ p o ʊ
alertness	ə l ɝ t n ə s
ales	e ɪ l z
aleurometer	æ l j ə ɹ ɑ m ɪ t ɚ
aleurone	ə l j ʊ ə ɹ o ʊ n
alevin	æ l ə v ə n
alewife	e ɪ l w a ɪ f
alex	æ l ɪ k s
alexander	æ l i ɡ z æ n d ɚ
alexanders	æ l i ɡ z æ n d ɚ z
alexandrian	æ l ɛ k s z æ n d ɹ i ə n
alexandrite	æ l ɪ ɡ z æ n d ɹ a ɪ t
alexia	ə l ɛ k s i ə
alexipharmic	ə l ɛ k s ɪ f ɑ ɹ m ɪ k
alexithymia	e ɪ l ɛ k s ə θ a ɪ m i ə
alexithymic	ə l ɛ k s ɪ θ a ɪ m ɪ k
alf	æ l f
alfacalcidol	æ l f ə k æ l s ɪ d ɔ l
alfentanil	æ l f ɛ n t ə n ɪ l
alforja	æ l f ɔ ɹ d͡ʒ ə
alfred	æ l f ɹ ə d
alfresco	æ l f ɹ ɛ s k o ʊ
alfuzosin	æ l f j u z o ʊ s ɪ n
alga	æ l ɡ ə
algae	æ l d͡ʒ i
algebraic	æ l d͡ʒ ɪ b ɹ e ɪ ɪ k
algebraizable	æ l d͡ʒ ɪ b ɹ ə a ɪ z ə b l̩
algebraize	æ l d͡ʒ ɪ b ɹ ə a ɪ z
algedonic	æ l d͡ʒ ɪ d ɔ n ɪ k
algeny	æ l d͡ʒ ɛ n i
algerian	æ l d͡ʒ ɪ ɹ i ə n
alghero	ɑ l ɡ ɛ ɹ o ʊ
algid	æ l d͡ʒ ɪ d
algiers	æ l d͡ʒ ɪ ɹ z
algo	æ l ɡ o ʊ̯
algonquian	æ l ɡ ɑ ŋ k w i ə n
algonquin	æ l ɡ ɑ ŋ k w ɪ n
algorithmic	æ l ɡ ə ɹ ɪ ð m ɪ k
alias	e ɪ l i ə s
alicante	ɑ l ə k ɑ n t e ɪ
alicorn	æ l ɪ k ɔ ɹ n
alidade	æ l ɪ d e ɪ d
alidades	æ l ɪ d e ɪ d z
alien	e ɪ l i ə n
alienans	e ɪ l i ə n æ n z
alienate	e ɪ l i ə n e ɪ t
alienist	e ɪ l ɪ ə n ɪ s t
alienists	e ɪ l ɪ ə n ɪ s t s
alif	a l ɪ f
alight	ə l a ɪ t
alighten	ə l a ɪ t ə n
aligned	ə l a ɪ n d
aligner	ə l a ɪ n ɚ
alike	ə l a ɪ k
alimentary	æ l ɪ m ɛ n t ə ɹ i
alimony	æ l ɪ m o ʊ n i
aliphatic	æ l ɪ f æ t ɪ k
aliquot	æ l ɪ k w ɔ t
aliquots	æ l ɪ k w ɔ t s
alison	æ l ɪ s ə n
aliter	æ l ɪ t ɚ
aliterate	e ɪ l ɪ t ə ɹ ə t
alitretinoin	æ l ɪ t ɹ ɛ t n̩ o ʊ ɪ n
alive	ə l a ɪ v
aliveness	ə l a ɪ v n ə s
alize	ə l i z
alkali	æ l k ə l a ɪ
alkalied	æ l k ə l a ɪ d
alkaline	æ l k ə l a ɪ n
