ააგო	ɑ ɑ ɡ ɔ
არსებითი	ɑ r s ɛ b i tʰ i
არსებობა	ɑ r s ɛ b ɔ b ɑ
არსებობს	ɑ r s ɛ b ɔ b s
არსებული	ɑ r s ɛ b u l i
არსენალი	ɑ r s ɛ n ɑ l i
არსი	ɑ r s i
არსით	ɑ r s i tʰ
არტისტი	ɑ r tʼ i s tʼ i
არტისტიზმი	ɑ r tʼ i s tʼ i z m i
არტისტულად	ɑ r tʼ i s tʼ u l ɑ d
არტისტული	ɑ r tʼ i s tʼ u l i
არტიშოკი	ɑ r tʼ i ʃ ɔ kʼ i
არქაიზმი	ɑ r kʰ ɑ i z m i
არქაული	ɑ r kʰ ɑ u l i
არქეოლოგია	ɑ r kʰ ɛ ɔ l ɔ ɡ i ɑ
არქიტექტურა	ɑ r kʰ i tʼ ɛ kʰ tʼ u r ɑ
არქიტექტურულად	ɑ r kʰ i tʼ ɛ kʰ tʼ u r u l ɑ d
არქმევს	ɑ r kʰ m ɛ v s
არქტიკული	ɑ r kʰ tʼ i kʼ u l i
არყოფნა	ɑ r qʼ ɔ pʰ n ɑ
არჩევა	ɑ r t͡ʃ ɛ v ɑ
არჩევანი	ɑ r t͡ʃ ɛ v ɑ n i
არჩევითი	ɑ r t͡ʃ ɛ v i tʰ i
არჩევნები	ɑ r t͡ʃ ɛ v n ɛ b i
არჩევს	ɑ r t͡ʃ ɛ v s
არჩვი	ɑ r t͡ʃ v i
არჩილ	ɑ r t͡ʃ i l
არჩილი	ɑ r t͡ʃ i l i
არც	ɑ r t͡s
არცერთი	ɑ r t͡s ɛ r tʰ i
არცოდნა	ɑ r t͡s ɔ d n ɑ
არწივი	ɑ r t͡sʼ i v i
არხეინი	ɑ r x ɛ i n i
არხი	ɑ r x i
ასათაურებს	ɑ s ɑ tʰ ɑ u r ɛ b s
ასაკი	ɑ s ɑ kʼ i
ასაკოვანი	ɑ s ɑ kʼ ɔ v ɑ n i
ასანთი	ɑ s ɑ n tʰ i
ასატანი	ɑ s ɑ tʼ ɑ n i
ასახავს	ɑ s ɑ x ɑ v s
ასახელებს	ɑ s ɑ x ɛ l ɛ b s
ასე	ɑ s ɛ
ასევე	ɑ s ɛ v ɛ
ასეთი	ɑ s ɛ tʰ i
ასთმა	ɑ s tʰ m ɑ
ასიმეტრიული	ɑ s i m ɛ tʼ r i u l i
ასიმილაცია	ɑ s i m i l ɑ t͡s i ɑ
ასისტენტი	ɑ s i s tʼ ɛ n tʼ i
ასკეტურად	ɑ s kʼ ɛ tʼ u r ɑ d
ასლი	ɑ s l i
ასო	ɑ s ɔ
ასორტი	ɑ s ɔ r tʼ i
ასოციაცია	ɑ s ɔ t͡s i ɑ t͡s i ɑ
ასტეროიდი	ɑ s tʼ ɛ r ɔ i d i
ასტრა	ɑ s tʼ r ɑ
ასტროლოგი	ɑ s tʼ r ɔ l ɔ ɡ i
ასტრონომიული	ɑ s tʼ r ɔ n ɔ m i u l i
ასული	ɑ s u l i
ასუნსიონი	ɑ s u n s i ɔ n i
ასუსტებს	ɑ s u s tʼ ɛ b s
ასფალტი	ɑ s pʰ ɑ l tʼ i
ასწავლის	ɑ s t͡sʼ ɑ v l i s
ასწლიანი	ɑ s t͡sʼ l i ɑ n i
ატამი	ɑ tʼ ɑ m i
ატარებს	ɑ tʼ ɑ r ɛ b s
ატაშე	ɑ tʼ ɑ ʃ ɛ
ატელიე	ɑ tʼ ɛ l i ɛ
ატენიანებს	ɑ tʼ ɛ n i ɑ n ɛ b s
ატესტატი	ɑ tʼ ɛ s tʼ ɑ tʼ i
ატიპური	ɑ tʼ i pʼ u r i
ატლასი	ɑ tʼ l ɑ s i
ატმოსფერო	ɑ tʼ m ɔ s pʰ ɛ r ɔ
ატმოსფერული	ɑ tʼ m ɔ s pʰ ɛ r u l i
ატომი	ɑ tʼ ɔ m i
ატომური	ɑ tʼ ɔ m u r i
ატრიალებს	ɑ tʼ r i ɑ l ɛ b s
აუდიტი	ɑ u d i tʼ i
აუდიტორი	ɑ u d i tʼ ɔ r i
აუზით	ɑ u z i tʰ
აუზის	ɑ u z i s
აუზს	ɑ u z s
აუმღვრეველი	ɑ u m ɣ v r ɛ v ɛ l i
აურაცხელი	ɑ u r ɑ t͡s x ɛ l i
აურზაური	ɑ u r z ɑ u r i
აუტანელი	ɑ u tʼ ɑ n ɛ l i
აუტსაიდერი	ɑ u tʼ s ɑ i d ɛ r i
აუქციონი	ɑ u kʰ t͡s i ɔ n i
აუღელვებლად	ɑ u ɣ ɛ l v ɛ b l ɑ d
აუჩქარებელი	ɑ u t͡ʃ kʰ ɑ r ɛ b ɛ l i
აუცილებელი	ɑ u t͡s i l ɛ b ɛ l i
აუცილებლობა	ɑ u t͡s i l ɛ b l ɔ b ɑ
აუწერელი	ɑ u t͡sʼ ɛ r ɛ l i
აფარებს	ɑ pʰ ɑ r ɛ b s
აფეთქება	ɑ pʰ ɛ tʰ kʰ ɛ b ɑ
აფერისტი	ɑ pʰ ɛ r i s tʼ i
აფთიაქი	ɑ pʰ tʰ i ɑ kʰ i
აფიშა	ɑ pʰ i ʃ ɑ
აფორიაქებულად	ɑ pʰ ɔ r i ɑ kʰ ɛ b u l ɑ d
აფრიკა	ɑ pʰ r i kʼ ɑ
აფუჭებს	ɑ pʰ u t͡ʃʼ ɛ b s
აფხაზეთი	ɑ pʰ x ɑ z ɛ tʰ i
აფხაზეთით	ɑ pʰ x ɑ z ɛ tʰ i tʰ
აფხაზეთს	ɑ pʰ x ɑ z ɛ tʰ s
აფხაზი	ɑ pʰ x ɑ z i
აქ	ɑ kʰ
აქამდე	ɑ kʰ ɑ m d ɛ
აქანდაზი	ɑ kʰ ɑ n d ɑ z i
აქანე	ɑ kʰ ɑ n ɛ
აქედან	ɑ kʰ ɛ d ɑ n
აქეთ	ɑ kʰ ɛ tʰ
აქლემი	ɑ kʰ l ɛ m i
აქროლადი	ɑ kʰ r ɔ l ɑ d i
აქტივისტი	ɑ kʰ tʼ i v i s tʼ i
აქტიურად	ɑ kʰ tʼ i u r ɑ d
აქტიური	ɑ kʰ tʼ i u r i
აქცია	ɑ kʰ t͡s i ɑ
აქციზი	ɑ kʰ t͡s i z i
აქციონერი	ɑ kʰ t͡s i ɔ n ɛ r i
აღარ	ɑ ɣ ɑ r
აღბეჭდილი	ɑ ɣ b ɛ t͡ʃʼ d i l i
აღგზნებული	ɑ ɣ ɡ z n ɛ b u l i
აღდგენა	ɑ ɣ d ɡ ɛ n ɑ
აღდგენადი	ɑ ɣ d ɡ ɛ n ɑ d i
აღდგომა	ɑ ɣ d ɡ ɔ m ɑ
აღვირახსნილი	ɑ ɣ v i r ɑ x s n i l i
აღზრდილი	ɑ ɣ z r d i l i
აღთქმა	ɑ ɣ tʰ kʰ m ɑ
აღმართი	ɑ ɣ m ɑ r tʰ i
აღმატებული	ɑ ɣ m ɑ tʼ ɛ b u l i
აღმაშენებელი	ɑ ɣ m ɑ ʃ ɛ n ɛ b ɛ l i
აღმგზნები	ɑ ɣ m ɡ z n ɛ b i
აღმზრდელი	ɑ ɣ m z r d ɛ l i
აღმოაჩენს	ɑ ɣ m ɔ ɑ t͡ʃ ɛ n s
აღმოაჩინე	ɑ ɣ m ɔ ɑ t͡ʃ i n ɛ
აღმოაჩინო	ɑ ɣ m ɔ ɑ t͡ʃ i n ɔ
აღმოსავლეთი	ɑ ɣ m ɔ s ɑ v l ɛ tʰ i
აღმოსავლეთისკენ	ɑ ɣ m ɔ s ɑ v l ɛ tʰ i s kʼ ɛ n
აღმოსავლური	ɑ ɣ m ɔ s ɑ v l u r i
აღმოცენებული	ɑ ɣ m ɔ t͡s ɛ n ɛ b u l i
აღმქმელი	ɑ ɣ m kʰ m ɛ l i
აღნიშვნა	ɑ ɣ n i ʃ v n ɑ
აღნიშნავს	ɑ ɣ n i ʃ n ɑ v s
აღნიშნული	ɑ ɣ n i ʃ n u l i
აღორძინებული	ɑ ɣ ɔ r d͡z i n ɛ b u l i
აღსარება	ɑ ɣ s ɑ r ɛ b ɑ
აღტაცებით	ɑ ɣ tʼ ɑ t͡s ɛ b i tʰ
აღტაცებული	ɑ ɣ tʼ ɑ t͡s ɛ b u l i
აღშფოთებულად	ɑ ɣ ʃ pʰ ɔ tʰ ɛ b u l ɑ d
აღშფოთებული	ɑ ɣ ʃ pʰ ɔ tʰ ɛ b u l i
აღძრავს	ɑ ɣ d͡z r ɑ v s
აღწერა	ɑ ɣ t͡sʼ ɛ r ɑ
აღწერამ	ɑ ɣ t͡sʼ ɛ r ɑ m
აღწერას	ɑ ɣ t͡sʼ ɛ r ɑ s
აღწერით	ɑ ɣ t͡sʼ ɛ r i tʰ
აღწერის	ɑ ɣ t͡sʼ ɛ r i s
აღწერს	ɑ ɣ t͡sʼ ɛ r s
აღჭურვილობა	ɑ ɣ t͡ʃʼ u r v i l ɔ b ɑ
აყალბებს	ɑ qʼ ɑ l b ɛ b s
აყრუებს	ɑ qʼ r u ɛ b s
აშენებს	ɑ ʃ ɛ n ɛ b s
აშინებს	ɑ ʃ i n ɛ b s
აშკარა	ɑ ʃ kʼ ɑ r ɑ
აშლა	ɑ ʃ l ɑ
აშლილი	ɑ ʃ l i l i
აშლილობა	ɑ ʃ l i l ɔ b ɑ
აშშ	ɑ ʃ ʃ
აჩუქებს	ɑ t͡ʃ u kʰ ɛ b s
აჩქარებს	ɑ t͡ʃ kʰ ɑ r ɛ b s
აცდენილი	ɑ t͡s d ɛ n i l i
აცემენტებს	ɑ t͡s ɛ m ɛ n tʼ ɛ b s
აცოცხლებს	ɑ t͡s ɔ t͡s x l ɛ b s
აცხობს	ɑ t͡s x ɔ b s
აძლევს	ɑ d͡z l ɛ v s
აძნელებს	ɑ d͡z n ɛ l ɛ b s
აწარმოებს	ɑ t͡sʼ ɑ r m ɔ ɛ b s
აწერს	ɑ t͡sʼ ɛ r s
აწეული	ɑ t͡sʼ ɛ u l i
აწეწილი	ɑ t͡sʼ ɛ t͡sʼ i l i
აწმყო	ɑ t͡sʼ m qʼ ɔ
აწმყოს	ɑ t͡sʼ m qʼ ɔ s
აწობს	ɑ t͡sʼ ɔ b s
აწყვეტინებს	ɑ t͡sʼ qʼ v ɛ tʼ i n ɛ b s
ახალ	ɑ x ɑ l
ახალგაზრდა	ɑ x ɑ l ɡ ɑ z r d ɑ
ახალგაზრდობა	ɑ x ɑ l ɡ ɑ z r d ɔ b ɑ
ახალგაზრდულად	ɑ x ɑ l ɡ ɑ z r d u l ɑ d
ახალთახალი	ɑ x ɑ l tʰ ɑ x ɑ l i
ახალი	ɑ x ɑ l i
ახარისხებს	ɑ x ɑ r i s x ɛ b s
ახდა	ɑ x d ɑ
ახდის	ɑ x d i s
ახვარი	ɑ x v ɑ r i
ახირებულად	ɑ x i r ɛ b u l ɑ d
ახირებული	ɑ x i r ɛ b u l i
ახლავს	ɑ x l ɑ v s
ახლანდელი	ɑ x l ɑ n d ɛ l i
ახლებურად	ɑ x l ɛ b u r ɑ d
ახლობელი	ɑ x l ɔ b ɛ l i
ახლომხედველი	ɑ x l ɔ m x ɛ d v ɛ l i
ახმაურებს	ɑ x m ɑ u r ɛ b s
ახორციელებს	ɑ x ɔ r t͡s i ɛ l ɛ b s
ახსოვს	ɑ x s ɔ v s
აჯამებს	ɑ d͡ʒ ɑ m ɛ b s
აჯანყება	ɑ d͡ʒ ɑ n qʼ ɛ b ɑ
აჯიკა	ɑ d͡ʒ i kʼ ɑ
აჯილდოებს	ɑ d͡ʒ i l d ɔ ɛ b s
ბაბუა	b ɑ b u ɑ
ბაბუაწვერა	b ɑ b u ɑ t͡sʼ v ɛ r ɑ
ბაგა	b ɑ ɡ ɑ
ბაგრატი	b ɑ ɡ r ɑ tʼ i
ბაგრატიონი	b ɑ ɡ r ɑ tʼ i ɔ n i
ბადალი	b ɑ d ɑ l i
ბადე	b ɑ d ɛ
ბადმინტონი	b ɑ d m i n tʼ ɔ n i
ბადრიჯანი	b ɑ d r i d͡ʒ ɑ n i
ბავშვები	b ɑ v ʃ v ɛ b i
ბავშვი	b ɑ v ʃ v i
ბავშვობა	b ɑ v ʃ v ɔ b ɑ
ბავშვურად	b ɑ v ʃ v u r ɑ d
ბავშვური	b ɑ v ʃ v u r i
ბაზარი	b ɑ z ɑ r i
ბაზელი	b ɑ z ɛ l i
ბაზრობა	b ɑ z r ɔ b ɑ
ბათუ	b ɑ tʰ u
ბათუმი	b ɑ tʰ u m i
ბათქაში	b ɑ tʰ kʰ ɑ ʃ i
ბაირამი	b ɑ i r ɑ m i
ბაკალავრი	b ɑ kʼ ɑ l ɑ v r i
ბალადა	b ɑ l ɑ d ɑ
ბალანსი	b ɑ l ɑ n s i
ბალასტი	b ɑ l ɑ s tʼ i
ბალახი	b ɑ l ɑ x i
ბალერინა	b ɑ l ɛ r i n ɑ
ბალეტი	b ɑ l ɛ tʼ i
ბალი	b ɑ l i
ბალიში	b ɑ l i ʃ i
ბალონი	b ɑ l ɔ n i
ბამი	b ɑ m i
ბანალურად	b ɑ n ɑ l u r ɑ d
ბანანი	b ɑ n ɑ n i
ბანაობა	b ɑ n ɑ ɔ b ɑ
ბანგლადეში	b ɑ n ɡ l ɑ d ɛ ʃ i
ბანდიტი	b ɑ n d i tʼ i
ბანი	b ɑ n i
ბანკეტი	b ɑ n kʼ ɛ tʼ i
ბანკირი	b ɑ n kʼ i r i
ბანკროტი	b ɑ n kʼ r ɔ tʼ i
ბაობაბი	b ɑ ɔ b ɑ b i
ბარათაშვილი	b ɑ r ɑ tʰ ɑ ʃ v i l i
ბარათი	b ɑ r ɑ tʰ i
ბარაქიანი	b ɑ r ɑ kʰ i ɑ n i
ბარბაროსი	b ɑ r b ɑ r ɔ s i
ბარბაროსული	b ɑ r b ɑ r ɔ s u l i
ბარბაცით	b ɑ r b ɑ t͡s i tʰ
ბარგი	b ɑ r ɡ i
ბარდი	b ɑ r d i
ბარელიეფი	b ɑ r ɛ l i ɛ pʰ i
ბარემ	b ɑ r ɛ m
ბართლომე	b ɑ r tʰ l ɔ m ɛ
ბარიერი	b ɑ r i ɛ r i
ბარიკადა	b ɑ r i kʼ ɑ d ɑ
ბარიტონი	b ɑ r i tʼ ɔ n i
ბარმენი	b ɑ r m ɛ n i
ბაროკო	b ɑ r ɔ kʼ ɔ
ბარომეტრი	b ɑ r ɔ m ɛ tʼ r i
ბარომეტრული	b ɑ r ɔ m ɛ tʼ r u l i
ბარონი	b ɑ r ɔ n i
ბარჟა	b ɑ r ʒ ɑ
ბარსელონა	b ɑ r s ɛ l ɔ n ɑ
ბარტყი	b ɑ r tʼ qʼ i
ბარძიმაშვილი	b ɑ r d͡z i m ɑ ʃ v i l i
ბარძიმი	b ɑ r d͡z i m i
ბასილი	b ɑ s i l i
ბასკი	b ɑ s kʼ i
ბასრი	b ɑ s r i
ბატალიონი	b ɑ tʼ ɑ l i ɔ n i
ბატარეა	b ɑ tʼ ɑ r ɛ ɑ
ბატი	b ɑ tʼ i
ბატისტი	b ɑ tʼ i s tʼ i
ბატონები	b ɑ tʼ ɔ n ɛ b i
ბატონი	b ɑ tʼ ɔ n i
ბატონობა	b ɑ tʼ ɔ n ɔ b ɑ
ბატონყმობა	b ɑ tʼ ɔ n qʼ m ɔ b ɑ
ბაფთა	b ɑ pʰ tʰ ɑ
ბაქტერიული	b ɑ kʰ tʼ ɛ r i u l i
ბაღლინჯო	b ɑ ɣ l i n d͡ʒ ɔ
ბაძავს	b ɑ d͡z ɑ v s
ბაჭია	b ɑ t͡ʃʼ i ɑ
ბაჰრეინი	b ɑ h r ɛ i n i
ბე	b ɛ
ბებო	b ɛ b ɔ
ბებრუხუნა	b ɛ b r u x u n ɑ
ბეგი	b ɛ ɡ i
ბედი	b ɛ d i
ბედნიერად	b ɛ d n i ɛ r ɑ d
ბედნიერება	b ɛ d n i ɛ r ɛ b ɑ
ბედობა	b ɛ d ɔ b ɑ
ბევრი	b ɛ v r i
ბეისბოლი	b ɛ i s b ɔ l i
ბეკონი	b ɛ kʼ ɔ n i
ბელა	b ɛ l ɑ
ბელგია	b ɛ l ɡ i ɑ
ბელგიური	b ɛ l ɡ i u r i
ბელეტრისტიკა	b ɛ l ɛ tʼ r i s tʼ i kʼ ɑ
ბენზინი	b ɛ n z i n i
ბეჟუაშვილი	b ɛ ʒ u ɑ ʃ v i l i
ბერი	b ɛ r i
ბერლინი	b ɛ r l i n i
ბეროშვილი	b ɛ r ɔ ʃ v i l i
ბერუაშვილი	b ɛ r u ɑ ʃ v i l i
ბერძენი	b ɛ r d͡z ɛ n i
ბერძნული	b ɛ r d͡z n u l i
ბესარიონი	b ɛ s ɑ r i ɔ n i
ბესტსელერი	b ɛ s tʼ s ɛ l ɛ r i
ბეღელი	b ɛ ɣ ɛ l i
ბეღურა	b ɛ ɣ u r ɑ
ბეჩავი	b ɛ t͡ʃ ɑ v i
ბეცი	b ɛ t͡s i
ბეწვი	b ɛ t͡sʼ v i
ბეჭდავს	b ɛ t͡ʃʼ d ɑ v s
ბეჭდვა	b ɛ t͡ʃʼ d v ɑ
ბეჭედი	b ɛ t͡ʃʼ ɛ d i
ბეჭი	b ɛ t͡ʃʼ i
ბეჯითად	b ɛ d͡ʒ i tʰ ɑ d
ბეჯითი	b ɛ d͡ʒ i tʰ i
ბზა	b z ɑ
ბზიკი	b z i kʼ i
ბზინვარება	b z i n v ɑ r ɛ b ɑ
ბზობა	b z ɔ b ɑ
ბიბილოიანი	b i b i l ɔ i ɑ n i
ბიბლია	b i b l i ɑ
ბიბლიოთეკა	b i b l i ɔ tʰ ɛ kʼ ɑ
ბიბლიური	b i b l i u r i
ბიზანტიის	b i z ɑ n tʼ i i s
ბილეთი	b i l ɛ tʰ i
ბილიარდი	b i l i ɑ r d i
ბილიკი	b i l i kʼ i
ბინა	b i n ɑ
ბინადარი	b i n ɑ d ɑ r i
ბინძური	b i n d͡z u r i
ბიოგრაფი	b i ɔ ɡ r ɑ pʰ i
ბიოგრაფია	b i ɔ ɡ r ɑ pʰ i ɑ
ბიოგრაფიული	b i ɔ ɡ r ɑ pʰ i u l i
ბიოლოგი	b i ɔ l ɔ ɡ i
ბიოლოგიის	b i ɔ l ɔ ɡ i i s
ბირთვი	b i r tʰ v i
ბირთვული	b i r tʰ v u l i
ბირჟა	b i r ʒ ɑ
ბიურო	b i u r ɔ
ბიუროკრატი	b i u r ɔ kʼ r ɑ tʼ i
ბიუროკრატია	b i u r ɔ kʼ r ɑ tʼ i ɑ
ბიუსტი	b i u s tʼ i
ბიუსტჰალტერი	b i u s tʼ h ɑ l tʼ ɛ r i
ბიუჯეტი	b i u d͡ʒ ɛ tʼ i
ბიძა	b i d͡z ɑ
ბიძინა	b i d͡z i n ɑ
ბიჭვინთა	b i t͡ʃʼ v i n tʰ ɑ
ბიჭი	b i t͡ʃʼ i
ბიჭუნა	b i t͡ʃʼ u n ɑ
ბიჭუნები	b i t͡ʃʼ u n ɛ b i
ბლაგვი	b l ɑ ɡ v i
ბლანტი	b l ɑ n tʼ i
ბლოგი	b l ɔ ɡ i
ბლოკადა	b l ɔ kʼ ɑ d ɑ
ბლოკი	b l ɔ kʼ i
ბლუ	b l u
ბმა	b m ɑ
ბმული	b m u l i
ბმულმა	b m u l m ɑ
ბმულს	b m u l s
ბნელა	b n ɛ l ɑ
ბნელი	b n ɛ l i
ბობოლა	b ɔ b ɔ l ɑ
ბობოქარი	b ɔ b ɔ kʰ ɑ r i
ბოდიში	b ɔ d i ʃ i
ბოთე	b ɔ tʰ ɛ
ბოთლი	b ɔ tʰ l i
ბოლი	b ɔ l i
ბოლო	b ɔ l ɔ
ბოლოკი	b ɔ l ɔ kʼ i
ბოლოს	b ɔ l ɔ s
ბოლქვი	b ɔ l kʰ v i
ბოლქვიანი	b ɔ l kʰ v i ɑ n i
ბომბავს	b ɔ m b ɑ v s
ბომბარდირი	b ɔ m b ɑ r d i r i
ბორანი	b ɔ r ɑ n i
ბორდო	b ɔ r d ɔ
ბორკილი	b ɔ r kʼ i l i
ბოროტად	b ɔ r ɔ tʼ ɑ d
ბოროტება	b ɔ r ɔ tʼ ɛ b ɑ
ბორტზე	b ɔ r tʼ z ɛ
ბორშჩი	b ɔ r ʃ t͡ʃ i
ბორცვი	b ɔ r t͡s v i
ბორჯომი	b ɔ r d͡ʒ ɔ m i
ბოსტნეული	b ɔ s tʼ n ɛ u l i
ბოტანიკური	b ɔ tʼ ɑ n i kʼ u r i
ბოღმა	b ɔ ɣ m ɑ
ბოცვერი	b ɔ t͡s v ɛ r i
ბოხჩა	b ɔ x t͡ʃ ɑ
ბრა	b r ɑ
ბრაზილიური	b r ɑ z i l i u r i
ბრალდება	b r ɑ l d ɛ b ɑ
ბრალეული	b r ɑ l ɛ u l i
ბრალეულობა	b r ɑ l ɛ u l ɔ b ɑ
ბრალი	b r ɑ l i
ბრბო	b r b ɔ
ბრიგადა	b r i ɡ ɑ d ɑ
ბრიკეტი	b r i kʼ ɛ tʼ i
ბრინჯი	b r i n d͡ʒ i
ბრიტანეთი	b r i tʼ ɑ n ɛ tʰ i
ბრიტანეთით	b r i tʼ ɑ n ɛ tʰ i tʰ
ბრიტანეთმა	b r i tʼ ɑ n ɛ tʰ m ɑ
ბრიტანეთს	b r i tʼ ɑ n ɛ tʰ s
ბრიტანული	b r i tʼ ɑ n u l i
ბრიყვი	b r i qʼ v i
ბრმა	b r m ɑ
ბროკოლი	b r ɔ kʼ ɔ l i
ბრომი	b r ɔ m i
ბრონქული	b r ɔ n kʰ u l i
ბროში	b r ɔ ʃ i
ბროწეული	b r ɔ t͡sʼ ɛ u l i
ბრტყელი	b r tʼ qʼ ɛ l i
ბრტყლად	b r tʼ qʼ l ɑ d
ბრუნდება	b r u n d ɛ b ɑ
ბრუნეი	b r u n ɛ i
ბრუნვა	b r u n v ɑ
ბრუნვადი	b r u n v ɑ d i
ბრუნი	b r u n i
ბრძანებითი	b r d͡z ɑ n ɛ b i tʰ i
ბრძანებულება	b r d͡z ɑ n ɛ b u l ɛ b ɑ
ბრძენი	b r d͡z ɛ n i
ბრძნულად	b r d͡z n u l ɑ d
ბრძნული	b r d͡z n u l i
ბრძოლა	b r d͡z ɔ l ɑ
ბრძოლად	b r d͡z ɔ l ɑ d
ბრძოლამ	b r d͡z ɔ l ɑ m
ბრძოლას	b r d͡z ɔ l ɑ s
ბრძოლით	b r d͡z ɔ l i tʰ
ბრძოლის	b r d͡z ɔ l i s
ბრწყინავს	b r t͡sʼ qʼ i n ɑ v s
ბრწყინვალე	b r t͡sʼ qʼ i n v ɑ l ɛ
ბრწყინვალება	b r t͡sʼ qʼ i n v ɑ l ɛ b ɑ
ბუ	b u
ბუდე	b u d ɛ
ბუდიზმი	b u d i z m i
ბუკი	b u kʼ i
ბუკლეტი	b u kʼ l ɛ tʼ i
ბუკოლიკური	b u kʼ ɔ l i kʼ u r i
ბულგარეთი	b u l ɡ ɑ r ɛ tʰ i
ბულგარული	b u l ɡ ɑ r u l i
ბულდოზერი	b u l d ɔ z ɛ r i
ბულვარი	b u l v ɑ r i
ბულიონი	b u l i ɔ n i
ბუმი	b u m i
ბუნდოვანება	b u n d ɔ v ɑ n ɛ b ɑ
ბუნდოვანი	b u n d ɔ v ɑ n i
ბუნებრივად	b u n ɛ b r i v ɑ d
ბუნებრივი	b u n ɛ b r i v i
ბუნი	b u n i
ბუნკერი	b u n kʼ ɛ r i
ბუნტი	b u n tʼ i
ბურბუშელა	b u r b u ʃ ɛ l ɑ
ბურდავს	b u r d ɑ v s
ბურდღა	b u r d ɣ ɑ
ბურთი	b u r tʰ i
ბურჟუა	b u r ʒ u ɑ
ბურჟუაზია	b u r ʒ u ɑ z i ɑ
ბურჟუაზიული	b u r ʒ u ɑ z i u l i
ბურღი	b u r ɣ i
ბუსუსიანი	b u s u s i ɑ n i
ბუფერი	b u pʰ ɛ r i
ბუფეტი	b u pʰ ɛ tʼ i
ბუქსირი	b u kʰ s i r i
ბუღალტერი	b u ɣ ɑ l tʼ ɛ r i
ბუღალტერია	b u ɣ ɑ l tʼ ɛ r i ɑ
ბუშტი	b u ʃ tʼ i
ბუჩქი	b u t͡ʃ kʰ i
ბუხარი	b u x ɑ r i
გააგრძელებ	ɡ ɑ ɑ ɡ r d͡z ɛ l ɛ b
გააგრძელებს	ɡ ɑ ɑ ɡ r d͡z ɛ l ɛ b s
გააკეთებდა	ɡ ɑ ɑ kʼ ɛ tʰ ɛ b d ɑ
გააკეთებს	ɡ ɑ ɑ kʼ ɛ tʰ ɛ b s
გაამდიდრებს	ɡ ɑ ɑ m d i d r ɛ b s
გაამოთ	ɡ ɑ ɑ m ɔ tʰ
გაანდო	ɡ ɑ ɑ n d ɔ
გაატარებს	ɡ ɑ ɑ tʼ ɑ r ɛ b s
გაატარეს	ɡ ɑ ɑ tʼ ɑ r ɛ s
გააფთრებული	ɡ ɑ ɑ pʰ tʰ r ɛ b u l i
გააცნობს	ɡ ɑ ɑ t͡s n ɔ b s
გააძნელებს	ɡ ɑ ɑ d͡z n ɛ l ɛ b s
გაბატონებული	ɡ ɑ b ɑ tʼ ɔ n ɛ b u l i
გაბაშვილი	ɡ ɑ b ɑ ʃ v i l i
გაბედულება	ɡ ɑ b ɛ d u l ɛ b ɑ
გაბზარული	ɡ ɑ b z ɑ r u l i
გაბნეული	ɡ ɑ b n ɛ u l i
გაბრაზებით	ɡ ɑ b r ɑ z ɛ b i tʰ
გაბრაზებული	ɡ ɑ b r ɑ z ɛ b u l i
გაბრუებული	ɡ ɑ b r u ɛ b u l i
გაგებით	ɡ ɑ ɡ ɛ b i tʰ
გაგიჟებული	ɡ ɑ ɡ i ʒ ɛ b u l i
გაგონება	ɡ ɑ ɡ ɔ n ɛ b ɑ
გაგრძელება	ɡ ɑ ɡ r d͡z ɛ l ɛ b ɑ
გადააგდებს	ɡ ɑ d ɑ ɑ ɡ d ɛ b s
გადაადგილება	ɡ ɑ d ɑ ɑ d ɡ i l ɛ b ɑ
გადააღწევს	ɡ ɑ d ɑ ɑ ɣ t͡sʼ ɛ v s
გადაგდება	ɡ ɑ d ɑ ɡ d ɛ b ɑ
გადადიან	ɡ ɑ d ɑ d i ɑ n
