abba	ɒ bː ɒ
bűncselekménnyel	b yː n t͡ʃ ɛ l ɛ k m eː ɲː ɛ l
bűncselekmény	b yː n t͡ʃ ɛ l ɛ k m eː ɲ
bűncselekmények	b yː n t͡ʃ ɛ l ɛ k m eː ɲ ɛ k
bűnt	b yː n t
bűntett	b yː n t ɛ tː
bűnös	b yː n ø ʃ
bűnözők	b yː n ø z øː k
cd	t͡s eː d eː
centi	t͡s ɛ n t i
centiméter	t͡s ɛ n t i m eː t ɛ r
centis	t͡s ɛ n t i ʃ
centrum	t͡s ɛ n t r u m
ceremónia	t͡s ɛ r ɛ m oː n i j ɒ
chicago	t͡ʃ i k aː ɡ oː
cicáik	t͡s i t͡s aː j i k
cigány	t͡s i ɡ aː ɲ
ciki	t͡s i k i
cikk	t͡s i kː
cikkben	t͡s i ɡ b ɛ n
cikke	t͡s i kː ɛ
cikkek	t͡s i kː ɛ k
cikkeket	t͡s i kː ɛ k ɛ t
cikket	t͡s i kː ɛ t
cikkében	t͡s i kː eː b ɛ n
ciklon	t͡s i k l o n
cinterem	t͡s i n t ɛ r ɛ m
cipel	t͡s i p ɛ l
cipzár	t͡s i b z aː r
citromsav	t͡s i t r o m ʃ ɒ v
civilizált	t͡s i v i l i z aː l t
combok	t͡s o m b o k
csaba	t͡ʃ ɒ b ɒ
csajkáid	t͡ʃ ɒ j k aː j i d
csak	t͡ʃ ɒ k
csakhogy	t͡ʃ ɒ k h o ɟ
csakis	t͡ʃ ɒ k i ʃ
csaknem	t͡ʃ ɒ k n ɛ m
család	t͡ʃ ɒ l aː d
családbarát	t͡ʃ ɒ l aː d b ɒ r aː t
családfő	t͡ʃ ɒ l aː t f øː
családi	t͡ʃ ɒ l aː d i
családja	t͡ʃ ɒ l aː ɟː ɒ
családnak	t͡ʃ ɒ l aː d n ɒ k
családok	t͡ʃ ɒ l aː d o k
családokat	t͡ʃ ɒ l aː d o k ɒ t
családot	t͡ʃ ɒ l aː d o t
csalán	t͡ʃ ɒ l aː n
csalás	t͡ʃ ɒ l aː ʃ
csalódott	t͡ʃ ɒ l oː d o tː
csap	t͡ʃ ɒ p
csapadék	t͡ʃ ɒ p ɒ d eː k
csapadékok	t͡ʃ ɒ p ɒ d eː k o k
csapat	t͡ʃ ɒ p ɒ t
csapata	t͡ʃ ɒ p ɒ t ɒ
csapatban	t͡ʃ ɒ p ɒ d b ɒ n
csapatnak	t͡ʃ ɒ p ɒ t n ɒ k
csapatok	t͡ʃ ɒ p ɒ t o k
csapatoknak	t͡ʃ ɒ p ɒ t o k n ɒ k
csapatot	t͡ʃ ɒ p ɒ t o t
csapattal	t͡ʃ ɒ p ɒ tː ɒ l
csapatunk	t͡ʃ ɒ p ɒ t u ŋ k
csapongó	t͡ʃ ɒ p o ŋ ɡ oː
csapás	t͡ʃ ɒ p aː ʃ
csatlakozik	t͡ʃ ɒ t l ɒ k o z i k
csatlakozni	t͡ʃ ɒ t l ɒ k o z n i
csatlakozási	t͡ʃ ɒ t l ɒ k o z aː ʃ i
csatlakozó	t͡ʃ ɒ t l ɒ k o z oː
csatorna	t͡ʃ ɒ t o r n ɒ
csatornák	t͡ʃ ɒ t o r n aː k
csattan	t͡ʃ ɒ tː ɒ n
csavar	t͡ʃ ɒ v ɒ r
csecsemő	t͡ʃ ɛ t͡ʃ ɛ m øː
csehek	t͡ʃ ɛ h ɛ k
csehország	t͡ʃ ɛ o r s aː ɡ
csekkek	t͡ʃ ɛ kː ɛ k
csekély	t͡ʃ ɛ k eː j
cselekedetek	t͡ʃ ɛ l ɛ k ɛ d ɛ t ɛ k
cselekmény	t͡ʃ ɛ l ɛ k m eː ɲ
cselekvési	t͡ʃ ɛ l ɛ k v eː ʃ i
csemeték	t͡ʃ ɛ m ɛ t eː k
csempézés	t͡ʃ ɛ m p eː z eː ʃ
csendes	t͡ʃ ɛ n d ɛ ʃ
csendesen	t͡ʃ ɛ n d ɛ ʃ ɛ n
csendélet	t͡ʃ ɛ n d eː l ɛ t
cseppekben	t͡ʃ ɛ pː ɛ ɡ b ɛ n
cseppet	t͡ʃ ɛ pː ɛ t
cserben	t͡ʃ ɛ r b ɛ n
cseresznyefa	t͡ʃ ɛ r ɛ s ɲ ɛ f ɒ
cserébe	t͡ʃ ɛ r eː b ɛ
cserél	t͡ʃ ɛ r eː l
cserélni	t͡ʃ ɛ r eː l n i
csiga	t͡ʃ i ɡ ɒ
csigalépcső	t͡ʃ i ɡ ɒ l eː p t͡ʃ øː
csillag	t͡ʃ i lː ɒ ɡ
csillagkép	t͡ʃ i lː ɒ kː eː p
csillagok	t͡ʃ i lː ɒ ɡ o k
csillagászati	t͡ʃ i lː ɒ ɡ aː s ɒ t i
csinos	t͡ʃ i n o ʃ
csintalan	t͡ʃ i n t ɒ l ɒ n
csinálhat	t͡ʃ i n aː l ɦ ɒ t
csoda	t͡ʃ o d ɒ
csodaszép	t͡ʃ o d ɒ s eː p
csodálatos	t͡ʃ o d aː l ɒ t o ʃ
csodát	t͡ʃ o d aː t
csoki	t͡ʃ o k i
csokoládébarna	t͡ʃ o k o l aː d eː b ɒ r n ɒ
csokonai	t͡ʃ o k o n ɒ j i
csomag	t͡ʃ o m ɒ ɡ
csomagot	t͡ʃ o m ɒ ɡ o t
csomópont	t͡ʃ o m oː p o n t
csongrád	t͡ʃ o ŋ ɡ r aː d
csont	t͡ʃ o n t
csontos	t͡ʃ o n t o ʃ
csoportja	t͡ʃ o p o r c ɒ
csoportját	t͡ʃ o p o r c aː t
csoportos	t͡ʃ o p o r t o ʃ
csupa	t͡ʃ u p ɒ
csupasz	t͡ʃ u p ɒ s
csupán	t͡ʃ u p aː n
csábítás	t͡ʃ aː b iː t aː ʃ
csápok	t͡ʃ aː p o k
csárda	t͡ʃ aː r d ɒ
császár	t͡ʃ aː s aː r
császári	t͡ʃ aː s aː r i
csépel	t͡ʃ eː p ɛ l
csésze	t͡ʃ eː s ɛ
csírájában	t͡ʃ iː r aː j aː b ɒ n
csökkent	t͡ʃ ø kː ɛ n t
csökkenteni	t͡ʃ ø kː ɛ n t ɛ n i
csökkentette	t͡ʃ ø kː ɛ n t ɛ tː ɛ
csökkentése	t͡ʃ ø kː ɛ n t eː ʃ ɛ
csökkentését	t͡ʃ ø kː ɛ n t eː ʃ eː t
csúcs	t͡ʃ uː t͡ʃ
csúf	t͡ʃ uː f
csúnya	t͡ʃ uː ɲ ɒ
csúnyán	t͡ʃ uː ɲ aː n
csúszda	t͡ʃ uː z d ɒ
csütörtök	t͡ʃ y t ø r t ø k
csütörtöki	t͡ʃ y t ø r t ø k i
csütörtökön	t͡ʃ y t ø r t ø k ø n
cukor	t͡s u k o r
cáfolat	t͡s aː f o l ɒ t
cég	t͡s eː ɡ
cége	t͡s eː ɡ ɛ
cégek	t͡s eː ɡ ɛ k
cégeknek	t͡s eː ɡ ɛ k n ɛ k
cégen	t͡s eː ɡ ɛ n
céges	t͡s eː ɡ ɛ ʃ
céget	t͡s eː ɡ ɛ t
cégnek	t͡s eː ɡ n ɛ k
cégnél	t͡s eː ɡ n eː l
cégük	t͡s eː ɡ y k
cégünk	t͡s eː ɡ y ŋ k
céhek	t͡s eː ɦ ɛ k
cél	t͡s eː l
célba	t͡s eː l b ɒ
célból	t͡s eː l b oː l
célja	t͡s eː jː ɒ
céljait	t͡s eː jː ɒ j i t
céljából	t͡s eː jː aː b oː l
céljára	t͡s eː jː aː r ɒ
célját	t͡s eː jː aː t
célkitűzés	t͡s eː l k i t yː z eː ʃ
céllal	t͡s eː lː ɒ l
célnak	t͡s eː l n ɒ k
célok	t͡s eː l o k
célokat	t͡s eː l o k ɒ t
célpontok	t͡s eː l p o n t o k
célra	t͡s eː rː ɒ
célszerű	t͡s eː l s ɛ r yː
célt	t͡s eː l t
céltudatos	t͡s eː l t u d ɒ t o ʃ
célul	t͡s eː l u l
célunk	t͡s eː l u ŋ k
célú	t͡s eː l uː
címe	t͡s iː m ɛ
címedet	t͡s iː m ɛ d ɛ t
címkék	t͡s iː m k eː k
címzett	t͡s iː m z ɛ tː
címén	t͡s iː m eː n
címére	t͡s iː m eː r ɛ
címét	t͡s iː m eː t
című	t͡s iː m yː
dac	d ɒ t͡s
daganatos	d ɒ ɡ ɒ n ɒ t o ʃ
dala	d ɒ l ɒ
dalol	d ɒ l o l
darab	d ɒ r ɒ b
darabja	d ɒ r ɒ b j ɒ
darabot	d ɒ r ɒ b o t
darazsak	d ɒ r ɒ ʒ ɒ k
david	d eː v i d
db	d ɒ r ɒ b
debrecen	d ɛ b r ɛ t͡s ɛ n
debrecenben	d ɛ b r ɛ t͡s ɛ m b ɛ n
debreceni	d ɛ b r ɛ t͡s ɛ n i
december	d ɛ t͡s ɛ m b ɛ r
decemberben	d ɛ t͡s ɛ m b ɛ r b ɛ n
definíció	d ɛ f i n iː t͡s i j oː
deklináció	d ɛ k l i n aː t͡s i j oː
demokrata	d ɛ m o k r ɒ t ɒ
demokratikus	d ɛ m o k r ɒ t i k u ʃ
demokraták	d ɛ m o k r ɒ t aː k
demokrácia	d ɛ m o k r aː t͡s i j ɒ
derül	d ɛ r y l
derült	d ɛ r y l t
derűlátó	d ɛ r yː l aː t oː
design	d i z aː j n
dezső	d ɛ ʒ øː
diabétesz	d i j ɒ b eː t ɛ s
diagnosztikai	d i j ɒ ɡ n o s t i k ɒ j i
diagnózis	d i j ɒ ɡ n oː z i ʃ
dicséretnek	d i t͡ʃ eː r ɛ t n ɛ k
dicsérte	d i t͡ʃ eː r t ɛ
dicsőség	d i t͡ʃ øː ʃ eː ɡ
digitális	d i ɡ i t aː l i ʃ
diktatúra	d i k t ɒ t uː r ɒ
diktátor	d i k t aː t o r
dimenziók	d i m ɛ n z i j oː k
dinamika	d i n ɒ m i k ɒ
dinamikusan	d i n ɒ m i k u ʃ ɒ n
diplomáciai	d i p l o m aː t͡s i j ɒ j i
diplomások	d i p l o m aː ʃ o k
direkt	d i r ɛ k t
diszkriminatív	d i s k r i m i n ɒ t iː v
divat	d i v ɒ t
diákok	d i j aː k o k
diétás	d i j eː t aː ʃ
dió	d i j oː
dob	d o b
dobják	d o b j aː k
dobogó	d o b o ɡ oː
dobott	d o b o tː
dobozos	d o b o z o ʃ
dobó	d o b oː
dokk	d o kː
doktor	d o k t o r
doktoranduszok	d o k t o r ɒ n d u s o k
doktornő	d o k t o r n øː
dokumentumfilm	d o k u m ɛ n t u ɱ f i l m
dokumentumfilmek	d o k u m ɛ n t u ɱ f i l m ɛ k
dokumentációk	d o k u m ɛ n t aː t͡s i j oː k
dokumentál	d o k u m ɛ n t aː l
dolga	d o l ɡ ɒ
dolgotok	d o l ɡ o t o k
dolgozatok	d o l ɡ o z ɒ t o k
dolgozhat	d o l ɡ o s h ɒ t
dolgozik	d o l ɡ o z i k
dolgoznak	d o l ɡ o z n ɒ k
dolgozni	d o l ɡ o z n i
dolgozott	d o l ɡ o z o tː
dolgozunk	d o l ɡ o z u ŋ k
dolgozó	d o l ɡ o z oː
dolgozói	d o l ɡ o z oː j i
dolgozók	d o l ɡ o z oː k
dolguk	d o l ɡ u k
dolgát	d o l ɡ aː t
dollár	d o lː aː r
dollárok	d o lː aː r o k
dollárral	d o lː aː rː ɒ l
dominika	d o m i n i k ɒ
drasztikus	d r ɒ s t i k u ʃ
drasztikusan	d r ɒ s t i k u ʃ ɒ n
drog	d r o ɡ
drága	d r aː ɡ ɒ
drágult	d r aː ɡ u l t
drágább	d r aː ɡ aː bː
drágák	d r aː ɡ aː k
drágám	d r aː ɡ aː m
drámai	d r aː m ɒ j i
duda	d u d ɒ
duna	d u n ɒ
dupla	d u p l ɒ
durva	d u r v ɒ
duó	d u oː
dzsudzsák	d͡ʒ u d͡ʒ aː k
dán	d aː n
dánia	d aː n i j ɒ
dávid	d aː v i d
délben	d eː l b ɛ n
délelőtt	d eː l ɛ l øː tː
déli	d eː l i
délnyugati	d eː l ɲ u ɡ ɒ t i
délre	d eː rː ɛ
délről	d eː rː øː l
délután	d eː l u t aː n
délutáni	d eː l u t aː n i
démonok	d eː m o n o k
dísz	d iː s
díszes	d iː s ɛ ʃ
dízel	d iː z ɛ l
dóm	d oː m
dönt	d ø n t
dönteni	d ø n t ɛ n i
döntés	d ø n t eː ʃ
döntéshozó	d ø n t eː ʃ h o z oː
döntési	d ø n t eː ʃ i
döntést	d ø n t eː ʃ t
döntött	d ø n t ø tː
döntő	d ø n t øː
dús	d uː ʃ
dőlt	d øː l t
ebbe	ɛ bː ɛ
ebben	ɛ bː ɛ n
ebből	ɛ bː øː l
ebek	ɛ b ɛ k
ebéd	ɛ b eː d
ebédet	ɛ b eː d ɛ t
eddig	ɛ dː i ɡ
eddigi	ɛ dː i ɡ i
eddiginél	ɛ dː i ɡ i n eː l
edző	ɛ d͡zː øː
efféle	ɛ f eː l ɛ
egerek	ɛ ɡ ɛ r ɛ k
egeret	ɛ ɡ ɛ r ɛ t
egy	ɛ ɟː
egyaránt	ɛ ɟː ɒ r aː n t
egyben	ɛ ɟ b ɛ n
egyből	ɛ ɟ b øː l
egyedi	ɛ ɟ ɛ d i
egyedüli	ɛ ɟ ɛ d y l i
egyedülálló	ɛ ɟ ɛ d y l aː lː oː
egyenes	ɛ ɟ ɛ n ɛ ʃ
egyenesek	ɛ ɟ ɛ n ɛ ʃ ɛ k
egyenesen	ɛ ɟ ɛ n ɛ ʃ ɛ n
egyenlőség	ɛ ɟː ɛ n l øː ʃ eː ɡ
egyesek	ɛ ɟː ɛ ʃ ɛ k
egyesülete	ɛ ɟː ɛ ʃ y l ɛ t ɛ
egyesült	ɛ ɟː ɛ ʃ y l t
egyesülés	ɛ ɟː ɛ ʃ y l eː ʃ
egyet	ɛ ɟː ɛ t
egyetemes	ɛ ɟ ɛ t ɛ m ɛ ʃ
egyetemi	ɛ ɟ ɛ t ɛ m i
egyetemisták	ɛ ɟ ɛ t ɛ m i ʃ t aː k
egyetlen	ɛ ɟː ɛ t l ɛ n
egyetért	ɛ ɟː ɛ t eː r t
egyetértés	ɛ ɟː ɛ t eː r t eː ʃ
egyezmény	ɛ ɟː ɛ z m eː ɲ
egyezmények	ɛ ɟː ɛ z m eː ɲ ɛ k
egyezség	ɛ ɟː ɛ ʃː eː ɡ
egyeztetés	ɛ ɟː ɛ s t ɛ t eː ʃ
egyfajta	ɛ c f ɒ j t ɒ
egyfelől	ɛ c f ɛ l øː l
egyház	ɛ c h aː z
egyházak	ɛ c h aː z ɒ k
egyházi	ɛ c h aː z i
egyik	ɛ ɟː i k
egyikben	ɛ ɟː i ɡ b ɛ n
egyike	ɛ ɟː i k ɛ
egyikről	ɛ ɟː i k r øː l
egyikük	ɛ ɟː i k y k
egyiptomi	ɛ ɟ i p t o m i
egyirányú	ɛ ɟː i r aː ɲ uː
egykor	ɛ c k o r
egymilliárd	ɛ ɟ m i lː i j aː r d
egymás	ɛ ɟ m aː ʃ
egymásba	ɛ ɟ m aː ʒ b ɒ
egymásban	ɛ ɟ m aː ʒ b ɒ n
egymáshoz	ɛ ɟ m aː ʃ h o z
egymásnak	ɛ ɟ m aː ʃ n ɒ k
egymásra	ɛ ɟ m aː ʃ r ɒ
egymással	ɛ ɟ m aː ʃː ɒ l
egymást	ɛ ɟ m aː ʃ t
egymástól	ɛ ɟ m aː ʃ t oː l
egymásért	ɛ ɟ m aː ʃ eː r t
egyre	ɛ ɟ r ɛ
egyrészt	ɛ ɟ r eː s t
egyszemélyes	ɛ c s ɛ m eː j ɛ ʃ
egyszerre	ɛ c s ɛ rː ɛ
egyszersmind	ɛ c s ɛ r ʃ m i n d
egyszerű	ɛ c s ɛ r yː
egyszerűen	ɛ c s ɛ r yː ɛ n
egységes	ɛ c ʃ eː ɡ ɛ ʃ
egyáltalán	ɛ ɟː aː l t ɒ l aː n
egyéb	ɛ ɟ eː b
egyébként	ɛ ɟ eː p k eː n t
egyél	ɛ ɟ eː l
egyén	ɛ ɟ eː n
egyének	ɛ ɟ eː n ɛ k
egyéni	ɛ ɟ eː n i
egyénileg	ɛ ɟ eː n i l ɛ ɡ
egyéves	ɛ ɟː eː v ɛ ʃ
egyúttal	ɛ ɟː uː tː ɒ l
együtt	ɛ ɟː y tː
együttes	ɛ ɟː y tː ɛ ʃ
együttese	ɛ ɟː y tː ɛ ʃ ɛ
együttműködve	ɛ ɟː y t m yː k ø d v ɛ
együttműködés	ɛ ɟː y t m yː k ø d eː ʃ
együttműködése	ɛ ɟː y t m yː k ø d eː ʃ ɛ
egész	ɛ ɡ eː s
egészen	ɛ ɡ eː s ɛ n
egészet	ɛ ɡ eː s ɛ t
egészség	ɛ ɡ eː ʃː eː ɡ
egészségbiztosítási	ɛ ɡ eː ʃː eː ɡ b i s t o ʃ iː t aː ʃ i
egészsége	ɛ ɡ eː ʃː eː ɡ ɛ
egészségem	ɛ ɡ eː ʃː eː ɡ ɛ m
egészségesebben	ɛ ɡ eː ʃː eː ɡ ɛ ʃ ɛ bː ɛ n
egészséget	ɛ ɡ eː ʃː eː ɡ ɛ t
egészségünk	ɛ ɡ eː ʃː eː ɡ y ŋ k
egészében	ɛ ɡ eː s eː b ɛ n
egészért	ɛ ɡ eː s eː r t
egészét	ɛ ɡ eː s eː t
egészít	ɛ ɡ eː s iː t
ehetetlen	ɛ h ɛ t ɛ t l ɛ n
ehhez	ɛ h ɛ z
ejt	ɛ j t
ejtsd	ɛ j d͡ʒ d
ekkor	ɛ kː o r
ekék	ɛ k eː k
eközben	ɛ k ø z b ɛ n
el	ɛ l
eladni	ɛ l ɒ d n i
eladás	ɛ l ɒ d aː ʃ
eladási	ɛ l ɒ d aː ʃ i
eladások	ɛ l ɒ d aː ʃ o k
elefánt	ɛ l ɛ f aː n t
elege	ɛ l ɛ ɡ ɛ
elegendő	ɛ l ɛ ɡ ɛ n d øː
eleget	ɛ l ɛ ɡ ɛ t
elegáns	ɛ l ɛ ɡ aː n ʃ
elek	ɛ l ɛ k
elektromos	ɛ l ɛ k t r o m o ʃ
elektromágneses	ɛ l ɛ k t r o m aː ɡ n ɛ ʃ ɛ ʃ
elektronika	ɛ l ɛ k t r o n i k ɒ
elektronikai	ɛ l ɛ k t r o n i k ɒ j i
elektronikus	ɛ l ɛ k t r o n i k u ʃ
elektronok	ɛ l ɛ k t r o n o k
elem	ɛ l ɛ m
eleme	ɛ l ɛ m ɛ
elemek	ɛ l ɛ m ɛ k
elemi	ɛ l ɛ m i
elemzés	ɛ l ɛ m z eː ʃ
elemzése	ɛ l ɛ m z eː ʃ ɛ
elemzések	ɛ l ɛ m z eː ʃ ɛ k
elemző	ɛ l ɛ m z øː
elemzők	ɛ l ɛ m z øː k
elemét	ɛ l ɛ m eː t
elengedhetetlen	ɛ l ɛ ŋ ɡ ɛ t h ɛ t ɛ t l ɛ n
elenyésző	ɛ l ɛ ɲ eː s øː
eleve	ɛ l ɛ v ɛ
elfelejteni	ɛ l f ɛ l ɛ j t ɛ n i
elfogadhatatlan	ɛ l f o ɡ ɒ t h ɒ t ɒ t l ɒ n
elfogadható	ɛ l f o ɡ ɒ t h ɒ t oː
elfogadni	ɛ l f o ɡ ɒ d n i
elfogadta	ɛ l f o ɡ ɒ tː ɒ
elfogadták	ɛ l f o ɡ ɒ tː aː k
elfogatóparancs	ɛ l f o ɡ ɒ t oː p ɒ r ɒ n t͡ʃ
elgondolkodtató	ɛ l ɡ o n d o l k o tː ɒ t oː
elhagyja	ɛ l ɦ ɒ ɟː ɒ
elhanyagolható	ɛ l ɦ ɒ ɲ ɒ ɡ o l ɦ ɒ t oː
elhanyagolt	ɛ l ɦ ɒ ɲ ɒ ɡ o l t
elhelyezni	ɛ l ɦ ɛ j ɛ z n i
elhunyt	ɛ l ɦ u ɲ t
elindulnak	ɛ l i n d u l n ɒ k
elismert	ɛ l i ʃ m ɛ r t
elismerés	ɛ l i ʃ m ɛ r eː ʃ
elismerést	ɛ l i ʃ m ɛ r eː ʃ t
eljuttatni	ɛ jː u tː ɒ t n i
eljárásban	ɛ jː aː r aː ʒ b ɒ n
eljárások	ɛ jː aː r aː ʃ o k
eljárással	ɛ jː aː r aː ʃː ɒ l
eljárást	ɛ jː aː r aː ʃ t
eljáró	ɛ jː aː r oː
elkerülhetetlen	ɛ l k ɛ r y l ɦ ɛ t ɛ t l ɛ n
elkerülhetetlenül	ɛ l k ɛ r y l ɦ ɛ t ɛ t l ɛ n y l
elkerülése	ɛ l k ɛ r y l eː ʃ ɛ
elkezdődik	ɛ l k ɛ z d øː d i k
elképzeltem	ɛ l k eː b z ɛ l t ɛ m
elképzelés	ɛ l k eː b z ɛ l eː ʃ
elképzelések	ɛ l k eː b z ɛ l eː ʃ ɛ k
elkészítése	ɛ l k eː s iː t eː ʃ ɛ
elkészítéséhez	ɛ l k eː s iː t eː ʃ eː ɦ ɛ z
elkészül	ɛ l k eː s y l
elkötelezett	ɛ l k ø t ɛ l ɛ z ɛ tː
elkövetkező	ɛ l k ø v ɛ t k ɛ z øː
elkövető	ɛ l k ø v ɛ t øː
elküldeni	ɛ l k y l d ɛ n i
elkülönített	ɛ l k y l ø n iː t ɛ tː
ellen	ɛ lː ɛ n
ellenben	ɛ lː ɛ m b ɛ n
ellene	ɛ lː ɛ n ɛ
ellenfele	ɛ lː ɛ ɱ f ɛ l ɛ
ellenkezik	ɛ lː ɛ ŋ k ɛ z i k
ellenkező	ɛ lː ɛ ŋ k ɛ z øː
ellent	ɛ lː ɛ n t
ellentmond	ɛ lː ɛ n t m o n d
ellentmondásos	ɛ lː ɛ n t m o n d aː ʃ o ʃ
ellentétben	ɛ lː ɛ n t eː d b ɛ n
ellentétes	ɛ lː ɛ n t eː t ɛ ʃ
ellenállás	ɛ lː ɛ n aː lː aː ʃ
ellenére	ɛ lː ɛ n eː r ɛ
ellenőrizni	ɛ lː ɛ n øː r i z n i
ellenőrzi	ɛ lː ɛ n øː r z i
ellenőrzés	ɛ lː ɛ n øː r z eː ʃ
ellenőrzése	ɛ lː ɛ n øː r z eː ʃ ɛ
ellenőrzések	ɛ lː ɛ n øː r z eː ʃ ɛ k
ellenőrzést	ɛ lː ɛ n øː r z eː ʃ t
ellenőrző	ɛ lː ɛ n øː r z øː
ellátni	ɛ lː aː t n i
ellátott	ɛ lː aː t o tː
ellátás	ɛ lː aː t aː ʃ
ellátását	ɛ lː aː t aː ʃ aː t
elmarad	ɛ l m ɒ r ɒ d
elmaradt	ɛ l m ɒ r ɒ tː
elmegy	ɛ l m ɛ ɟ
elment	ɛ l m ɛ n t
elmondani	ɛ l m o n d ɒ n i
elmondom	ɛ l m o n d o m
elmondása	ɛ l m o n d aː ʃ ɒ
elméleti	ɛ l m eː l ɛ t i
elméletileg	ɛ l m eː l ɛ t i l ɛ ɡ
elmélkedés	ɛ l m eː l k ɛ d eː ʃ
elmúlt	ɛ l m uː l t
elnevezés	ɛ l n ɛ v ɛ z eː ʃ
elnyeri	ɛ l ɲ ɛ r i
elnyomó	ɛ l ɲ o m oː
elnyomók	ɛ l ɲ o m oː k
elnézést	ɛ l n eː z eː ʃ t
elnéző	ɛ l n eː z øː
elnök	ɛ l n ø k
elnöke	ɛ l n ø k ɛ
elnöki	ɛ l n ø k i
elnöksége	ɛ l n ø k ʃ eː ɡ ɛ
elnökségi	ɛ l n ø k ʃ eː ɡ i
elnökének	ɛ l n ø k eː n ɛ k
elnökét	ɛ l n ø k eː t
elnökével	ɛ l n ø k eː v ɛ l
elnököt	ɛ l n ø k ø t
elolvasni	ɛ l o l v ɒ ʃ n i
elrendel	ɛ rː ɛ n d ɛ l
elsajátítása	ɛ l ʃ ɒ j aː t iː t aː ʃ ɒ
elsején	ɛ l ʃ ɛ j eː n
első	ɛ l ʃ øː
elsőbbséget	ɛ l ʃ øː p ʃ eː ɡ ɛ t
elsőben	ɛ l ʃ øː b ɛ n
elsődleges	ɛ l ʃ øː d l ɛ ɡ ɛ ʃ
elsődlegesen	ɛ l ʃ øː d l ɛ ɡ ɛ ʃ ɛ n
elsők	ɛ l ʃ øː k
elsőként	ɛ l ʃ øː k eː n t
elsőnek	ɛ l ʃ øː n ɛ k
elsőre	ɛ l ʃ øː r ɛ
elsősorban	ɛ l ʃ øː ʃ o r b ɒ n
elsőt	ɛ l ʃ øː t
elte	ɛ l t ɛ
elterjedt	ɛ l t ɛ r j ɛ tː
elterjedés	ɛ l t ɛ r j ɛ d eː ʃ
eltér	ɛ l t eː r
eltérés	ɛ l t eː r eː ʃ
eltérő	ɛ l t eː r øː
eltéved	ɛ l t eː v ɛ d
eltűnik	ɛ l t yː n i k
eltűnt	ɛ l t yː n t
elutasító	ɛ l u t ɒ ʃ iː t oː
elv	ɛ l v
elve	ɛ l v ɛ
elven	ɛ l v ɛ n
elveszett	ɛ l v ɛ s ɛ tː
elveszti	ɛ l v ɛ s t i
elvet	ɛ l v ɛ t
elvi	ɛ l v i
elvileg	ɛ l v i l ɛ ɡ
elvtárs	ɛ l f t aː r ʃ
elvtársak	ɛ l f t aː r ʃ ɒ k
elvár	ɛ l v aː r
elvárásai	ɛ l v aː r aː ʃ ɒ j i
elvégezhető	ɛ l v eː ɡ ɛ s h ɛ t øː
elvégre	ɛ l v eː ɡ r ɛ
elvész	ɛ l v eː s
elvétve	ɛ l v eː t v ɛ
elé	ɛ l eː
elég	ɛ l eː ɡ
elégedetlen	ɛ l eː ɡ ɛ d ɛ t l ɛ n
elégedetlenség	ɛ l eː ɡ ɛ d ɛ t l ɛ n ʃ eː ɡ
elégedett	ɛ l eː ɡ ɛ d ɛ tː
eléggé	ɛ l eː ɡː eː
elégséges	ɛ l eː k ʃ eː ɡ ɛ ʃ
elém	ɛ l eː m
elénk	ɛ l eː ŋ k
elér	ɛ l eː r
elérhető	ɛ l eː r ɦ ɛ t øː
elérhetővé	ɛ l eː r ɦ ɛ t øː v eː
elérni	ɛ l eː r n i
elérése	ɛ l eː r eː ʃ ɛ
eléréséhez	ɛ l eː r eː ʃ eː ɦ ɛ z
elöl	ɛ l ø l
elő	ɛ l øː
előadás	ɛ l øː ɒ d aː ʃ
előadása	ɛ l øː ɒ d aː ʃ ɒ
előadásban	ɛ l øː ɒ d aː ʒ b ɒ n
előadások	ɛ l øː ɒ d aː ʃ o k
előadást	ɛ l øː ɒ d aː ʃ t
előadásában	ɛ l øː ɒ d aː ʃ aː b ɒ n
előbb	ɛ l øː bː
előbbi	ɛ l øː bː i
előfizetői	ɛ l øː f i z ɛ t øː j i
előkelő	ɛ l øː k ɛ l øː
előkészítése	ɛ l øː k eː s iː t eː ʃ ɛ
előkészítő	ɛ l øː k eː s iː t øː
elől	ɛ l øː l
előle	ɛ l øː l ɛ
előleg	ɛ l øː l ɛ ɡ
előnye	ɛ l øː ɲ ɛ
előnyeit	ɛ l øː ɲ ɛ j i t
előnytelen	ɛ l øː ɲ t ɛ l ɛ n
előnyös	ɛ l øː ɲ ø ʃ
előnyösebb	ɛ l øː ɲ ø ʃ ɛ bː
előre	ɛ l øː r ɛ
előreláthatólag	ɛ l øː r ɛ l aː t h ɒ t oː l ɒ ɡ
elősegítése	ɛ l øː ʃ ɛ ɡ iː t eː ʃ ɛ
előszeretettel	ɛ l øː s ɛ r ɛ t ɛ tː ɛ l
először	ɛ l øː s ø r
előtte	ɛ l øː tː ɛ
előtti	ɛ l øː tː i
előző	ɛ l øː z øː
előírás	ɛ l øː j iː r aː ʃ
előírások	ɛ l øː j iː r aː ʃ o k
előírásoknak	ɛ l øː j iː r aː ʃ o k n ɒ k
előítélet	ɛ l øː j iː t eː l ɛ t
ember	ɛ m b ɛ r
embere	ɛ m b ɛ r ɛ
emberei	ɛ m b ɛ r ɛ j i
emberi	ɛ m b ɛ r i
emberileg	ɛ m b ɛ r i l ɛ ɡ
eme	ɛ m ɛ
