aad	aː t
bakpoeder	b ɑ k p u d ə r
bakstenen	b ɑ k s t eː n ə n
bal	b ɑ l
baldakijn	b ɑ l d aː k ɛ i̯ n
balen	b aː l ə n
balie	b aː l i
balk	b ɑ l k
balken	b ɑ l k ə n
balkon	b ɑ l k ɔ n
ballast	b ɑ l ɑ s t
ballen	b ɑ l ə n
ballet	b ɑ l ɛ t
ballingschap	b ɑ l ɪ ŋ s x ɑ p
ballon	b ɑ l ɔ n
balsem	b ɑ l s ə m
balustrade	b aː l y s t r aː d ə
bamboe	b ɑ m b u
banaan	b aː n aː n
bancair	b ɑ ŋ k ɛː r
bandbreedte	b ɑ n t b r eː t ə
banen	b aː n ə n
bang	b ɑ ŋ
bangkok	b ɑ ŋ k ɔ k
bangladesh	b ɑ ŋ ɡ l aː d ɛ ʃ
banja	b ɑ n j aː
bank	b ɑ ŋ k
bankbediende	b ɑ ŋ k b ə d i n d ə
bankovervaller	b ɑ ŋ k oː v ə r v ɑ l ə r
bankrekening	b ɑ ŋ k r eː k ə n ɪ ŋ
bankroet	b ɑ ŋ k r u t
bankschroef	b ɑ ŋ k s x r u f
banksector	b ɑ ŋ k s ɛ k t ɔ r
bankwezen	b ɑ ŋ k ʋ eː z ə n
bankzitter	b ɑ ŋ k s ɪ t ə r
banner	b ɛ n ə r
bar	b ɑ r
barbecue	b ɑ r b ə k j u
barcelona	b ɑ r s ə l oː n aː
baren	b aː r ə n
barendrecht	b aː r ə n d r ɛ x t
baret	b aː r ɛ t
bark	b ɑ r k
barman	b ɑ r m ɑ n
barmhartig	b ɑ r m ɦ ɑ r t ə x
barmhartigheid	b ɑ r m ɦ ɑ r t ə x ɦ ɛ i̯ t
barneveld	b ɑ r n ə v ɛ l t
barnsteen	b ɑ r n s t eː n
baron	b aː r ɔ n
bars	b ɑ r s
bart	b ɑ r t
baryon	b aː r i ɔ n
bas	b ɑ s
baseren	b aː z eː r ə n
basgitaar	b ɑ s x i t aː r
basilicum	b aː z i l i k ʏ m
baskenland	b ɑ s k ə n l ɑ n d
bassin	b ɑ s ɛ n
bassist	b ɑ s ɪ s t
bastion	b ɑ s t i ɔ n
baten	b aː t ə n
batterij	b ɑ t ə r ɛ i̯
bavarois	b aː v aː r ʋ aː
bazen	b aː z ə n
bazuinen	b aː z œ y̯ n ə n
bbp	b eː b eː p eː
beademing	b ə aː d ə m ɪ ŋ
beagle	b iː ɡ ə l
beantwoorden	b ə ɑ n t ʋ oː r d ə n
bebouwing	b ə b ɑ u̯ ɪ ŋ
beconcurreren	b ə k ɔ ŋ k ʏ r eː r ə n
bed	b ɛ t
bedacht	b ə d ɑ x t
beddegoed	b ɛ d ə ɣ u t
bedeesd	b ə d eː s t
bedekt	b ə d ɛ k t
bedekte	b ə d ɛ k t ə
bedelmonnik	b eː d ə l m ɔ n ɪ k
bedenken	b ə d ɛ ŋ k ə n
bedenker	b ə d ɛ ŋ k ə r
bederven	b ə d ɛ r v ə n
bedevaartsoord	b eː d ə v aː r t s oː r t
bediener	b ə d i n ə r
bediening	b ə d i n ɪ ŋ
bedoel	b ə d u l
bedoelen	b ə d u l ə n
bedoeling	b ə d u l ɪ ŋ
bedrading	b ə d r aː d ɪ ŋ
bedrag	b ə d r ɑ x
bedragen	b ə d r aː ɣ ə n
bedreigen	b ə d r ɛ i̯ ɣ ə n
bedreven	b ə d r eː v ə n
bedriegen	b ə d r i ɣ ə n
bedrijf	b ə d r ɛ i̯ f
bedrijfsleven	b ə d r ɛ i̯ f s l eː v ə n
bedrijven	b ə d r ɛ i̯ v ə n
bedrog	b ə d r ɔ x
bedruipen	b ə d r œ y̯ p ə n
bedrukken	b ə d r ʏ k ə n
beducht	b ə d ʏ x t
beduidend	b ə d œ y̯ d ə n t
beek	b eː k
beeldbuis	b eː l t b œ y̯ s
beelden	b eː l d ə n
beeldend	b eː l d ə n t
beeldenstorm	b eː l d ə n s t ɔ r m
beeldhouwer	b eː l t ɦ ɑ u̯ ə r
beeldscherm	b eː l t s x ɛ r m
beeltenis	b eː l t ə n ɪ s
been	b eː n
beenmerg	b eː n m ɛ r x
beer	b eː r
beerput	b eː r p ʏ t
beesel	b eː s ə l
beest	b eː s t
beet	b eː t
beetje	b eː t j ə
befaamd	b ə f aː m t
begaafd	b ə ɣ aː f t
begaan	b ə ɣ aː n
begeerte	b ə ɣ eː r t ə
begeleiden	b ə ɣ ə l ɛ i̯ d ə n
begeleiding	b ə ɣ ə l ɛ i̯ d ɪ ŋ
begeven	b ə ɣ eː v ə n
beginnerscursus	b ə ɣ ɪ n ə r s k ʏ r z ʏ s
beginpunt	b ə ɣ ɪ n p ʏ n t
beginsel	b ə ɣ ɪ n s ə l
begraafplaats	b ə ɣ r aː f p l aː t s
begrafenis	b ə ɣ r aː f ə n ɪ s
begraven	b ə ɣ r aː v ə n
begrensd	b ə ɣ r ɛ n s t
begrijp	b ə ɣ r ɛ i̯ p
begrijpen	b ə ɣ r ɛ i̯ p ə n
begrip	b ə ɣ r ɪ p
begrippenkader	b ə ɣ r ɪ p ə n k aː d ə r
begroeien	b ə ɣ r u i̯ ə n
begroeiing	b ə ɣ r u j ɪ ŋ
begroeten	b ə ɣ r u t ə n
begroting	b ə ɣ r oː t ɪ ŋ
begrotingsbeleid	b ə ɣ r oː t ɪ ŋ s b ə l ɛ i̯ t
begrotingsevenwicht	b ə ɣ r oː t ɪ ŋ s eː v ə n ʋ ɪ x t
behaaglijk	b ə ɦ aː x l ə k
behalen	b ə ɦ aː l ə n
behalve	b ə ɦ ɑ l v ə
behandelaar	b ə ɦ ɑ n d ə l aː r
behandeld	b ə ɦ ɑ n d ə l t
behandelen	b ə ɦ ɑ n d ə l ə n
behandeling	b ə ɦ ɑ n d ə l ɪ ŋ
behandelt	b ə ɦ ɑ n d ə l t
behang	b ə ɦ ɑ ŋ
behartigen	b ə ɦ ɑ r t ə ɣ ə n
beheer	b ə ɦ eː r
beheerbaar	b ə ɦ eː r b aː r
beheerder	b ə ɦ eː r d ə r
beheersbaar	b ə ɦ eː r s b aː r
beheersen	b ə ɦ eː r s ə n
beheersing	b ə ɦ eː r s ɪ ŋ
beheerst	b ə ɦ eː r s t
behendigheid	b ə ɦ ɛ n d ə x ɦ ɛ i̯ t
beheren	b ə ɦ eː r ə n
behoeden	b ə ɦ u d ə n
behoefte	b ə ɦ u f t ə
behoorlijk	b ə ɦ oː r l ə k
behoren	b ə ɦ oː r ə n
behoud	b ə ɦ ɑ u̯ t
behouden	b ə ɦ ɑ u̯ d ə n
behoudens	b ə ɦ ɑ u̯ d ə n s
beide	b ɛ i̯ d ə
beiden	b ɛ i̯ d ə n
beieren	b ɛ i̯ ə r ə n
beilen	b ɛ i̯ l ə n
beiroet	b ɛ i̯ r u t
bejaardentehuis	b ə j aː r d ə n t ə ɦ œ y̯ s
bek	b ɛ k
bekend	b ə k ɛ n t
bekende	b ə k ɛ n d ə
bekendheid	b ə k ɛ n t ɦ ɛ i̯ t
bekennen	b ə k ɛ n ə n
bekentenis	b ə k ɛ n t ə n ɪ s
bekerfinale	b eː k ə r f i n aː l ə
bekering	b ə k eː r ɪ ŋ
bekertoernooi	b eː k ə r t u r n oː i̯
bekeuren	b ə k øː r ə n
bekijken	b ə k ɛ i̯ k ə n
bekken	b ɛ k ə n
beklemming	b ə k l ɛ m ɪ ŋ
beklimmen	b ə k l ɪ m ə n
beknopt	b ə k n ɔ p t
beknotten	b ə k n ɔ t ə n
bekomen	b ə k oː m ə n
bekommeren	b ə k ɔ m ə r ə n
bekopen	b ə k oː p ə n
bekoren	b ə k oː r ə n
bekostigen	b ə k ɔ s t ə ɣ ə n
bekrompen	b ə k r ɔ m p ə n
bekroning	b ə k r oː n ɪ ŋ
bekwaamheid	b ə k ʋ aː m ɦ ɛ i̯ t
bel	b ɛ l
belabberd	b ə l ɑ b ə r t
beladen	b ə l aː d ə n
belagen	b ə l aː ɣ ə n
belager	b ə l aː ɣ ə r
belanden	b ə l ɑ n d ə n
belang	b ə l ɑ ŋ
belanghebbende	b ə l ɑ ŋ ɦ ɛ b ə n d ə
belangrijk	b ə l ɑ ŋ r ɛ i̯ k
belangrijkheid	b ə l ɑ ŋ r ɛ i̯ k ɦ ɛ i̯ t
belasting	b ə l ɑ s t ɪ ŋ
belastingaangifte	b ə l ɑ s t ɪ ŋ aː n ɣ ɪ f t ə
belastingbetaler	b ə l ɑ s t ɪ ŋ b ə t aː l ə r
belastinggeld	b ə l ɑ s t ɪ ŋ ɣ ɛ l t
belastingontduiking	b ə l ɑ s t ɪ ŋ ɔ n d œ y̯ k ɪ ŋ
beledigen	b ə l eː d ə ɣ ə n
belediging	b ə l eː d ə ɣ ɪ ŋ
beleefd	b ə l eː f t
beleg	b ə l ɛ x
belegering	b ə l eː ɣ ə r ɪ ŋ
beleggen	b ə l ɛ ɣ ə n
belegger	b ə l ɛ ɣ ə r
belegging	b ə l ɛ ɣ ɪ ŋ
beleid	b ə l ɛ i̯ t
beleidsmaker	b ə l ɛ i̯ t s m aː k ə r
belemmeren	b ə l ɛ m ə r ə n
belenen	b ə l eː n ə n
beletten	b ə l ɛ t ə n
beleven	b ə l eː v ə n
beleving	b ə l eː v ɪ ŋ
belgen	b ɛ l ɣ ə n
belgisch	b ɛ l ɣ i s
belgië	b ɛ l ɣ i j ə
belgrado	b ɛ l ɣ r aː d oː
belichten	b ə l ɪ x t ə n
believen	b ə l i v ə n
belijden	b ə l ɛ i̯ d ə n
belijdenis	b ə l ɛ i̯ d ə n ɪ s
bella	b ɛ l aː
bellen	b ɛ l ə n
beller	b ɛ l ə r
bello	b ɛ l oː
belofte	b ə l ɔ f t ə
belonen	b ə l oː n ə n
beloning	b ə l oː n ɪ ŋ
belt	b ɛ l t
beluisteren	b ə l œ y̯ s t ə r ə n
bemachtigen	b ə m ɑ x t ə ɣ ə n
bemerken	b ə m ɛ r k ə n
bemiddeld	b ə m ɪ d ə l t
bemiddeling	b ə m ɪ d ə l ɪ ŋ
bemoediging	b ə m u d ə ɣ ɪ ŋ
bemoeilijken	b ə m u j l ə k ə n
ben	b ɛ n
benaderen	b ə n aː d ə r ə n
benadering	b ə n aː d ə r ɪ ŋ
benadrukken	b ə n aː d r ʏ k ə n
beneden	b ə n eː d ə n
benelux	b eː n ə l y k s
benen	b eː n ə n
benoemen	b ə n u m ə n
bent	b ɛ n t
benutten	b ə n ʏ t ə n
benzinestation	b ɛ n z i n ə s t aː ʃ ɔ n
beoefenen	b ə u f ə n ə n
beoordelen	b ə oː r d eː l ə n
beoordeling	b ə oː r d eː l ɪ ŋ
bep	b ɛ p
bepaald	b ə p aː l t
bepalen	b ə p aː l ə n
bepaling	b ə p aː l ɪ ŋ
beperken	b ə p ɛ r k ə n
beperking	b ə p ɛ r k ɪ ŋ
beperkt	b ə p ɛ r k t
beplanten	b ə p l ɑ n t ə n
bepleiten	b ə p l ɛ i̯ t ə n
beraad	b ə r aː t
beraadslagen	b ə r aː t s l aː ɣ ə n
beraden	b ə r aː d ə n
berber	b ɛ r b ə r
bereid	b ə r ɛ i̯ t
bereiden	b ə r ɛ i̯ d ə n
bereidheid	b ə r ɛ i̯ t ɦ ɛ i̯ t
bereiding	b ə r ɛ i̯ d ɪ ŋ
bereik	b ə r ɛ i̯ k
bereikbaar	b ə r ɛ i̯ k b aː r
bereiken	b ə r ɛ i̯ k ə n
berekenen	b ə r eː k ə n ə n
berend	b eː r ə n t
berends	b eː r ə n t s
berg	b ɛ r x
bergachtig	b ɛ r x ɑ x t ə x
bergafwaarts	b ɛ r x ɑ f ʋ aː r t s
bergen	b ɛ r ɣ ə n
berger	b ɛ r ɣ ə r
berggeit	b ɛ r x ɛ i̯ t
berging	b ɛ r ɣ ɪ ŋ
bergketen	b ɛ r x k eː t ə n
bergman	b ɛ r x m ɑ n
bergop	b ɛ r x ɔ p
berichtgeving	b ə r ɪ x t x eː v ɪ ŋ
berm	b ɛ r m
bermbom	b ɛ r m b ɔ m
bermtoerist	b ɛ r m t u r ɪ s t
beroeps	b ə r u p s
beroepsmatig	b ə r u p s m aː t ə x
beroerte	b ə r uː r t ə
berouw	b ə r ɑ u̯
berucht	b ə r ʏ x t
berusten	b ə r ʏ s t ə n
bes	b ɛ s
beschadigen	b ə s x aː d ə ɣ ə n
beschadiging	b ə s x aː d ə ɣ ɪ ŋ
beschaving	b ə s x aː v ɪ ŋ
bescheiden	b ə s x ɛ i̯ d ə n
bescheidener	b ə s x ɛ i̯ d ə n ə r
beschermen	b ə s x ɛ r m ə n
beschermengel	b ə s x ɛ r m ɛ ŋ ə l
bescherming	b ə s x ɛ r m ɪ ŋ
beschieten	b ə s x i t ə n
beschikbaarheid	b ə s x ɪ k b aː r ɦ ɛ i̯ t
beschikken	b ə s x ɪ k ə n
beschikking	b ə s x ɪ k ɪ ŋ
beschonken	b ə s x ɔ ŋ k ə n
beschoren	b ə s x oː r ə n
beschouw	b ə s x ɑ u̯
beschouwd	b ə s x ɑ u̯ t
beschouwen	b ə s x ɑ u̯ ə n
beschouwing	b ə s x ɑ u̯ ɪ ŋ
beschrijving	b ə s x r ɛ i̯ v ɪ ŋ
beschuit	b ə s x œ y̯ t
beschuldigen	b ə s x ʏ l d ə ɣ ə n
beschuldiging	b ə s x ʏ l d ə ɣ ɪ ŋ
beschutting	b ə s x ʏ t ɪ ŋ
besef	b ə s ɛ f
beseffen	b ə s ɛ f ə n
beslaan	b ə s l aː n
beslag	b ə s l ɑ x
beslagen	b ə s l aː ɣ ə n
beslechten	b ə s l ɛ x t ə n
beslissen	b ə s l ɪ s ə n
beslist	b ə s l ɪ s t
besluit	b ə s l œ y̯ t
besluiten	b ə s l œ y̯ t ə n
besmetten	b ə s m ɛ t ə n
besmetting	b ə s m ɛ t ɪ ŋ
besmeuren	b ə s m øː r ə n
besnijdenis	b ə s n ɛ i̯ d ə n ɪ s
besparen	b ə s p aː r ə n
besparing	b ə s p aː r ɪ ŋ
bespelen	b ə s p eː l ə n
bespeuren	b ə s p øː r ə n
bespotten	b ə s p ɔ t ə n
bespreekbaar	b ə s p r eː k b aː r
bespreken	b ə s p r eː k ə n
bespreking	b ə s p r eː k ɪ ŋ
bestaan	b ə s t aː n
bestanddeel	b ə s t ɑ n t d eː l
bestanden	b ə s t ɑ n d ə n
besteden	b ə s t eː d ə n
bestek	b ə s t ɛ k
bestelformulier	b ə s t ɛ l f ɔ r m y l iː r
bestellen	b ə s t ɛ l ə n
bestelling	b ə s t ɛ l ɪ ŋ
bestelwagen	b ə s t ɛ l ʋ aː ɣ ə n
bestemming	b ə s t ɛ m ɪ ŋ
bestempelen	b ə s t ɛ m p ə l ə n
bestendig	b ə s t ɛ n d ə x
bestoken	b ə s t oː k ə n
bestraffen	b ə s t r ɑ f ə n
bestraffing	b ə s t r ɑ f ɪ ŋ
bestralen	b ə s t r aː l ə n
bestraten	b ə s t r aː t ə n
bestrijden	b ə s t r ɛ i̯ d ə n
bestrijding	b ə s t r ɛ i̯ d ɪ ŋ
bestrijken	b ə s t r ɛ i̯ k ə n
bestuderen	b ə s t y d eː r ə n
besturen	b ə s t y r ə n
besturingssysteem	b ə s t yː r ɪ ŋ s i s t eː m
bestuur	b ə s t yː r
bestuurder	b ə s t yː r d ə r
bestuurlijk	b ə s t yː r l ə k
bestuursvorm	b ə s t yː r s f ɔ r m
betaalbaar	b ə t aː l b aː r
betaling	b ə t aː l ɪ ŋ
betekenis	b ə t eː k ə n ɪ s
beter	b eː t ə r
bethlehem	b ɛ t l eː ɦ ɛ m
betogen	b ə t oː ɣ ə n
betoging	b ə t oː ɣ ɪ ŋ
beton	b ə t ɔ n
betonnen	b ə t ɔ n ə n
betoog	b ə t oː x
betoveren	b ə t oː v ə r ə n
betovering	b ə t oː v ə r ɪ ŋ
betrappen	b ə t r ɑ p ə n
betreden	b ə t r eː d ə n
betreffen	b ə t r ɛ f ə n
betreffende	b ə t r ɛ f ə n
betrekkelijk	b ə t r ɛ k ə l ə k
betrekken	b ə t r ɛ k ə n
betrekking	b ə t r ɛ k ɪ ŋ
betrokken	b ə t r ɔ k ə n
betrokkenheid	b ə t r ɔ k ə n ɦ ɛ i̯ t
betrouwbaar	b ə t r ɑ u̯ b aː r
betrouwbaarheid	b ə t r ɑ u̯ b aː r ɦ ɛ i̯ t
betweter	b ɛ t ʋ eː t ə r
betwijfelen	b ə t ʋ ɛ i̯ f ə l ə n
betwist	b ə t ʋ ɪ s t
betwistbaar	b ə t ʋ ɪ s t b aː r
beugel	b øː ɣ ə l
beuk	b øː k
beuken	b øː k ə n
beul	b øː l
beun	b øː n
beuningen	b øː n ɪ ŋ ə n
beurs	b øː r s
beurt	b øː r t
bevallen	b ə v ɑ l ə n
bevalling	b ə v ɑ l ɪ ŋ
bevaren	b ə v aː r ə n
bevatten	b ə v ɑ t ə n
beveiligen	b ə v ɛ i̯ l ə ɣ ə n
beveiliging	b ə v ɛ i̯ l ə ɣ ɪ ŋ
bevel	b ə v ɛ l
bevelhebber	b ə v ɛ l ɦ ɛ b ə r
bevestigen	b ə v ɛ s t ə ɣ ə n
bevestiging	b ə v ɛ s t ə ɣ ɪ ŋ
bevind	b ə v ɪ n t
bevindelijk	b ə v ɪ n d ə l ə k
bevinden	b ə v ɪ n d ə n
bevindingen	b ə v ɪ n d ɪ ŋ ə n
bevindt	b ə v ɪ n t
bevoegd	b ə v u x t
bevolken	b ə v ɔ l k ə n
bevolking	b ə v ɔ l k ɪ ŋ
bevoordelen	b ə v oː r d eː l ə n
bevorderen	b ə v ɔ r d ə r ə n
bevragen	b ə v r aː ɣ ə n
bevreesd	b ə v r eː s t
bevriezen	b ə v r i z ə n
bevrijden	b ə v r ɛ i̯ d ə n
bevrijding	b ə v r ɛ i̯ d ɪ ŋ
bevruchten	b ə v r ʏ x t ə n
bewaker	b ə ʋ aː k ə r
bewaking	b ə ʋ aː k ɪ ŋ
bewaren	b ə ʋ aː r ə n
bewaring	b ə ʋ aː r ɪ ŋ
beweegbaar	b ə ʋ eː x b aː r
bewegen	b ə ʋ eː ɣ ə n
beweging	b ə ʋ eː ɣ ɪ ŋ
bewegingsapparaat	b ə ʋ eː ɣ ɪ ŋ s ɑ p aː r aː t
beweren	b ə ʋ eː r ə n
bewerken	b ə ʋ ɛ r k ə n
bewerking	b ə ʋ ɛ r k ɪ ŋ
bewerkstelligen	b ə ʋ ɛ r k s t ɛ l ə ɣ ə n
bewijs	b ə ʋ ɛ i̯ s
bewijzen	b ə ʋ ɛ i̯ z ə n
bewindsvrouw	b ə ʋ ɪ n t s f r ɑ u̯
bewindvoerder	b ə ʋ ɪ n t f uː r d ə r
bewogen	b ə ʋ oː ɣ ə n
bewonderen	b ə ʋ ɔ n d ə r ə n
bewonderenswaardig	b ə ʋ ɔ n d ə r ə n s ʋ aː r d ə x
bewondering	b ə ʋ ɔ n d ə r ɪ ŋ
bewonen	b ə ʋ oː n ə n
bewoner	b ə ʋ oː n ə r
bewoond	b ə ʋ oː n t
bewusteloos	b ə ʋ ʏ s t ə l oː s
bezetter	b ə z ɛ t ə r
bezichtigen	b ə z ɪ x t ə ɣ ə n
bezielen	b ə z i l ə n
bezieling	b ə z i l ɪ ŋ
bezien	b ə z i n
bezienswaardigheid	b ə z i n s ʋ aː r d ə x ɦ ɛ i̯ t
bezig	b eː z ə x
bezigheid	b eː z ə x ɦ ɛ i̯ t
bezingen	b ə z ɪ ŋ ə n
bezinnen	b ə z ɪ n ə n
bezinning	b ə z ɪ n ɪ ŋ
bezitter	b ə z ɪ t ə r
bezocht	b ə z ɔ x t
bezoek	b ə z u k
bezoeken	b ə z u k ə n
bezoeker	b ə z u k ə r
bezoekt	b ə z u k t
bezorgd	b ə z ɔ r x t
bezorgen	b ə z ɔ r ɣ ə n
bezorging	b ə z ɔ r ɣ ɪ ŋ
bezuinigen	b ə z œ y̯ n ə ɣ ə n
bezuiniging	b ə z œ y̯ n ə ɣ ɪ ŋ
bezwaar	b ə z ʋ aː r
bezwaarschrift	b ə z ʋ aː r s x r ɪ f t
bezwaren	b ə z ʋ aː r ə n
bezweet	b ə z ʋ eː t
bezwijken	b ə z ʋ ɛ i̯ k ə n
beïnvloeden	b ə ɪ n v l u d ə n
bi	b i
bibi	b i b i
bibliografie	b i b l i j oː ɣ r aː f i
bidden	b ɪ d ə n
bieden	b i d ə n
biel	b i l
bier	b i r
bierbrouwer	b iː r b r ɑ u̯ ə r
bierbuik	b iː r b œ y̯ k
biervat	b iː r v ɑ t
biestmelk	b i s t m ɛ l k
big	b ɪ x
bij	b ɛ i̯
bijbels	b ɛ i̯ b ə l s
bijbrengen	b ɛ i̯ b r ɛ ŋ ə n
bijdrage	b ɛ i̯ d r aː ɣ ə
bijdragen	b ɛ i̯ d r aː ɣ ə n
bijeen	b ɛ i̯ eː n
bijeenkomst	b ɛ i̯ eː n k ɔ m s t
bijgebouw	b ɛ i̯ ɣ ə b ɑ u̯
bijgeloof	b ɛ i̯ ɣ ə l oː f
bijgelovigheid	b ɛ i̯ ɣ ə l oː v ə x ɦ ɛ i̯ t
bijgenaamd	b ɛ i̯ ɣ ə n aː m t
bijgevolg	b ɛ i̯ ɣ ə v ɔ l x
bijhouden	b ɛ i̯ ɦ ɑ u̯ d ə n
bijklank	b ɛ i̯ k l ɑ ŋ k
bijkomen	b ɛ i̯ k oː m ə n
bijlage	b ɛ i̯ l aː ɣ ə
bijldrager	b ɛ i̯ l d r aː ɣ ə r
bijltje	b ɛ i̯ l t j ə
bijna	b ɛ i̯ n aː
bijnaam	b ɛ i̯ n aː m
bijou	b i ʒ u
bijrol	b ɛ i̯ r ɔ l
bijstand	b ɛ i̯ s t ɑ n t
bijstellen	b ɛ i̯ s t ɛ l ə n
bijster	b ɛ i̯ s t ə r
bijt	b ɛ i̯ t
bijtanken	b ɛ i̯ t ɛ ŋ k ə n
bijten	b ɛ i̯ t ə n
bijtijds	b ɛ i̯ t ɛ i̯ t s
bijval	b ɛ i̯ v ɑ l
bijvoorbeeld	b ɛ i̯ v oː r b eː l t
bijvullen	b ɛ i̯ v ʏ l ə n
bijwerken	b ɛ i̯ ʋ ɛ r k ə n
bijwijf	b ɛ i̯ ʋ ɛ i̯ f
bijwonen	b ɛ i̯ ʋ oː n ə n
bijwoning	b ɛ i̯ ʋ oː n ɪ ŋ
bijzaak	b ɛ i̯ z aː k
bijzijn	b ɛ i̯ z ɛ i̯ n
bijzonder	b i z ɔ n d ə r
bijzonderheid	b i z ɔ n d ə r ɦ ɛ i̯ t
bildungsroman	b ɪ l d u ŋ s r oː m ɑ n
biljart	b ɪ l j ɑ r t
biljoen	b ɪ l j u n
bimbo	b ɪ m b oː
binden	b ɪ n d ə n
binding	b ɪ n d ɪ ŋ
binnenband	b ɪ n ə n b ɑ n t
binnendoor	b ɪ n ə n d oː r
binnenhalen	b ɪ n ə n ɦ aː l ə n
binnenkant	b ɪ n ə n k ɑ n t
binnenkomen	b ɪ n ə n k oː m ə n
binnenkort	b ɪ n ə n k ɔ r t
binnenlands	b ɪ n ə n l ɑ n t s
binnenmuur	b ɪ n ə n m yː r
binnenplaats	b ɪ n ə n p l aː t s
binnenstad	b ɪ n ə n s t ɑ t
binnentrekken	b ɪ n ə n t r ɛ k ə n
binnenvaart	b ɪ n ə n v aː r t
binnenvaartschip	b ɪ n ə n v aː r t s x ɪ p
binnenvallen	b ɪ n ə n v ɑ l ə n
binnenweg	b ɪ n ə n ʋ ɛ x
binnenzak	b ɪ n ə n z ɑ k
binocle	b i n ɔ k l ə
bint	b ɪ n t
bio	b i oː
biochemisch	b i oː x eː m i s
biodanza	b i oː d ɑ n z aː
biodiversiteit	b i oː d i v ɛ r s i t ɛ i̯ t
biofysica	b i oː f i z i k aː
biografisch	b i oː ɣ r aː f i s
biologisch	b i j oː l oː ɣ i s
bioloog	b i oː l oː x
bioscoop	b i ɔ s k oː p
biosfeer	b i oː s f eː r
biotechnologie	b i oː t ɛ x n oː l oː ɣ i
birma	b ɪ r m aː
birmaan	b ɪ r m aː n
bis	b i s
bisdom	b ɪ s d ɔ m
biseksueel	b i s ɛ k s y eː l
bisschop	b ɪ s x ɔ p
bisschoppelijk	b ɪ s s x ɔ p ə l ə k
bit	b ɪ t
bits	b ɪ t s
bittergarnituur	b ɪ t ə r ɣ ɑ r n i t yː r
bivak	b i v ɑ k
bizon	b i z ɔ n
blaaskapel	b l aː s k aː p ɛ l
blaasontsteking	b l aː s ɔ n t s t eː k ɪ ŋ
blad	b l ɑ t
bladeren	b l aː d ə r ə n
bladmuziek	b l ɑ t m y z i k
bladschede	b l ɑ t s x eː d ə
bladzij	b l ɑ t s ɛ i̯
bladzijde	b l ɑ t s ɛ i̯ d ə
blaren	b l aː r ə n
blauw	b l ɑ u̯
blauwdruk	b l ɑ u̯ d r ʏ k
blauwe	b l ɑ u̯ ə
blauwgrijs	b l ɑ u̯ ɣ r ɛ i̯ s
blazen	b l aː z ə n
bleek	b l eː k
bleekselderij	b l eː k s ɛ l d ə r ɛ i̯
bleker	b l eː k ə r
bles	b l ɛ s
blessure	b l ɛ s yː r ə
blessuretijd	b l ɛ s y r ə t ɛ i̯ t
blij	b l ɛ i̯
blijdschap	b l ɛ i̯ t s x ɑ p
blijk	b l ɛ i̯ k
blijkbaar	b l ɛ i̯ k b aː r
blijven	b l ɛ i̯ v ə n
blijvend	b l ɛ i̯ v ə n t
bliksem	b l ɪ k s ə m
blikvanger	b l ɪ k f ɑ ŋ ə r
blind	b l ɪ n t
blindheid	b l ɪ n d ɦ ɛ ɪ t
blinken	b l ɪ ŋ k ə n
bloedarmoede	b l u t ɑ r m u d ə
bloedbad	b l u t b ɑ t
bloeddonor	b l u t d oː n ɔ r
bloeddruk	b l u t d r ʏ k
bloedgroep	b l u t x r u p
bloedhekel	b l u t ɦ eː k ə l
bloedig	b l u d ə x
bloeding	b l u d ɪ ŋ
bloedneus	b l u t n øː s
bloedsomloop	b l u t s ɔ m l oː p
bloedstroom	b l u t s t r oː m
bloedsuiker	b l u t s œ y̯ k ə r
bloedtransfusie	b l u t t r ɑ n s f y z i
bloedvergieten	b l u t f ə r ɣ i t ə n
bloei	b l u i̯
bloem	b l u m
bloemen	b l u m ə n
bloemendaal	b l u m ə n d aː l
bloemenveiling	b l u m ə n v ɛ i̯ l ɪ ŋ
bloemlezing	b l u m l eː z ɪ ŋ
bloemrijk	b l u m r ɛ i̯ k
bloesem	b l u s ə m
blog	b l ɔ x
blok	b l ɔ k
blokkade	b l ɔ k aː d ə
blokken	b l ɔ k ə n
blokkeren	b l ɔ k eː r ə n
blom	b l ɔ m
blond	b l ɔ n t
blondine	b l ɔ n d iː n ə
blood	b l oː t
bloot	b l oː t
blootstelling	b l oː t s t ɛ l ɪ ŋ
blozen	b l oː z ə n
bluffen	b l ʏ f ə n
blunder	b ʏ n d ə r
blut	b l ʏ t
bnp	b eː ɛ n p eː
bo	b oː
boa	b oː aː
bob	b ɔ p
bochel	b ɔ x ə l
bocht	b ɔ x t
bode	b oː d ə
bodem	b oː d ə m
bodemonderzoek	b oː d ə m ɔ n d ə r z u k
bodenbrood	b oː d ə n b r oː t
body	b ɔ d i
boe	b u
boedapest	b u d aː p ɛ s t
boeddhisme	b u d ɪ s m ə
boeddhist	b u d ɪ s t
boeg	b u x
boegbeeld	b u x b eː l t
boeie	b u i̯ ə
boeien	b u i̯ ə n
boeiend	b u j ə n t
boek	b u k
boekarest	b u k aː r ɛ s t
boekdeel	b u k d eː l
boeken	b u k ə n
boeket	b u k ɛ t
boekhandel	b u k ɦ ɑ n d ə l
boekhouden	b u k ɦ ɑ u̯ d ə n
boekhouder	b u k ɦ ɑ u̯ d ə r
boekhouding	b u k ɦ ɑ u̯ d ɪ ŋ
boekjaar	b u k j aː r
boel	b u l
