ᆯ지	ʎ t͡ɕ͈ i
곤충	k o̞ ɲ t͡ɕʰ u ŋ
곤충학	k o̞ ɲ t͡ɕʰ u ŋ ɦ a̠ k̚
곧바로	k o̞ t̚ p͈ a̠ ɾ o̞
곧은창자	k o̞ d ɯ ɲ t͡ɕʰ a̠ ŋ d͡ʑ a̠
곧장	k o̞ t̚ t͡ɕ͈ a̠ ŋ
골드바	k o̞ ɭ d ɯ b a̠
골목	k o̞ː ɭ m o̞ k̚
골무	k o̞ ɭ m u
골반	k o̞ ɭ b a̠ n
골상학	k o̞ ɭ sʰ a̠ ŋ ɦ a̠ k̚
골수	k o̞ ɭ s͈ u
골인	k͈ o̞ ɾ i n
골짜기	k o̞ ʎ t͡ɕ͈ a̠ ɡ i
골프	k͈ o̞ ɭ pʰ ɯ
곪다	k o̞ː m t͈ a̠
곰국	k o̞ː m k͈ u k̚
곰비임비	k o̞ m b i i m b i
곰실	k o̞ m ɕʰ i ɭ
곰틀	k o̞ m tʰ ɯ ɭ
곰팡이	k o̞ m pʰ a̠ ŋ i
곱사연어	k o̞ p s͈ a̠ j ʌ̹ n ʌ̹
곱셈	k o̞ p s͈ e̞ m
곳곳	k o̞ t̚ k͈ o̞ t̚
공간	k o̞ ŋ ɡ a̠ n
공갈	k o̞ː ŋ ɡ a̠ ɭ
공격	k o̞ː ŋ ɡ j ʌ̹ k̚
공경	k o̞ ŋ ɡ j ʌ̹ ŋ
공공	k o̞ ŋ ɡ o̞ ŋ
공구	k o̞ ŋ ɡ u
공군	k o̞ ŋ ɡ u n
공급	k o̞ː ŋ ɡ ɯ p̚
공동	k o̞ː ŋ d o̞ ŋ
공동체	k o̞ː ŋ d o̞ ŋ t͡ɕʰ e̞
공로	k o̞ ŋ n o̞
공룡	k o̞ː ŋ ɲ j o ŋ
공리주의	k o̞ ŋ n i d͡ʑ u ɰ i
공모	k o̞ː ŋ m o̞
공무원	k o̞ ŋ m u w ʌ̹ n
공민	k o̞ ŋ m i n
공방	k o̞ ŋ b a̠ ŋ
공병	k o̞ ŋ b j ʌ̹ ŋ
공보원	k o̞ ŋ b o̞ w ʌ̹ n
공부하다	k o̞ ŋ b u ɦ a̠ d a̠
공산당	k o̞ː ŋ sʰ a̠ n d a̠ ŋ
공산주의	k o̞ː ŋ sʰ a̠ ɲ d͡ʑ u ɰ i
공산주의자	k o̞ː ŋ sʰ a̠ ɲ d͡ʑ u ɰ i d͡ʑ a̠
공성계	k o̞ ŋ sʰ ʌ̹ ŋ ɡ j e̞
공세	k o̞ː ŋ sʰ e̞
공수	k o̞ ŋ sʰ u
공수도	k o̞ ŋ sʰ u d o̞
공수병	k o̞ː ŋ sʰ u p͈ j ʌ̹ ŋ
공식	k o̞ ŋ ɕʰ i k̚
공식어	k o̞ ŋ ɕʰ i ɡ ʌ̹
공안	k o̞ ŋ a̠ n
공언	k o̞ ŋ ʌ̹ n
공언하다	k o̞ ŋ ʌ̹ n ɦ a̠ d a̠
공업	k o̞ ŋ ʌ̹ p̚
공업화	k o̞ː ŋ ʌ̹ pʰ w a̠
공연	k o̞ ŋ j ʌ̹ n
공용어	k o̞ ŋ j o ŋ ʌ̹
공원	k o̞ ŋ w ʌ̹ n
공인	k o̞ ŋ i n
공작	k o̞ː ŋ d͡ʑ a̠ k̚
공정	k o̞ ŋ d͡ʑ ʌ̹ ŋ
공정하다	k o̞ ŋ d͡ʑ ʌ̹ ŋ ɦ a̠ d a̠
공주	k o̞ ŋ d͡ʑ u
공중	k o̞ ŋ d͡ʑ u ŋ
공중전화	k o̞ ŋ d͡ʑ u ŋ d͡ʑ ʌ̹ n β w a̠
공지	k o̞ ŋ d͡ʑ i
공짜	k o̞ ŋ t͡ɕ͈ a̠
공통점	k o̞ː ŋ tʰ o̞ ŋ t͡ɕ͈ ʌ̹ m
공포	k o̞ː ŋ pʰ o̞
공학	k o̞ ŋ ɦ a̠ k̚
공항	k o̞ ŋ ɦ a̠ ŋ
공허하다	k o̞ ŋ ɦ ʌ̹ ɦ a̠ d a̠
공황	k o̞ː ŋ β w a̠ ŋ
과거형	k w a̠ː ɡ ʌ̹ ʝ j ʌ̹ ŋ
과금	k w a̠ ɡ ɯ m
과두	k w a̠ː d u
과들루쁘	k w a̠ d ɯ ɭ ɭ u p͈ ɯ
과들루프	k w a̠ d ɯ ɭ ɭ u pʰ ɯ
과떼말라	k w a̠ t͈ e̞ m a̠ ɭ ɭ a̠
과로	k w a̠ː ɾ o̞
과로사	k w a̠ː ɾ o̞ sʰ a̠
과립	k w a̠ ɾ i p̚
과메기	k w a̠ m e̞ ɡ i
과물	k w a̠ m u ɭ
과업	k w a̠ ʌ̹ p̚
과연	k w a̠ː j ʌ̹ n
과외	k w a̠ w e̞
과욕	k w a̠ː j o k̚
과일	k w a̠ː i ɭ
과일단물	k w a̠ i ɭ d a̠ n m u ɭ
과일물	k w a̠ː i ɭ m u ɭ
과자	k w a̠ː d͡ʑ a̠
과장	k w a̠ d͡ʑ a̠ ŋ
과정	k w a̠ː d͡ʑ ʌ̹ ŋ
과테말라	k w a̠ tʰ e̞ m a̠ ɭ ɭ a̠
과팅	k w a̠ tʰ i ŋ
과포자	k w a̠ pʰ o̞ d͡ʑ a̠
과학	k w a̠ ɦ a̠ k̚
과학관	k w a̠ ɦ a̠ k̚ k͈ w a̠ n
과학자	k w a̠ ɦ a̠ k̚ t͡ɕ͈ a̠
과학적	k w a̠ ɦ a̠ k̚ t͡ɕ͈ ʌ̹ k̚
곽밥	k w a̠ k̚ p͈ a̠ p̚
관계	k w a̠ n ɡ j e̞
관계어	k w a̠ n ɡ j e̞ ʌ̹
관계없이	k w a̠ n ɡ j e̞ ʌ̹ p ɕ͈ i
관계자	k w a̠ n ɡ j e̞ d͡ʑ a̠
관광	k w a̠ n ɡ w a̠ ŋ
관광버스	k w a̠ n ɡ w a̠ ŋ b ʌ̹ sʰ ɯ
관광학	k w a̠ n ɡ w a̠ ŋ ɦ a̠ k̚
관념	k w a̠ n ɲ j ʌ̹ m
관람차	k w a̠ ɭ ɭ a̠ m t͡ɕʰ a̠
관련	k w a̠ ʎ ʎ j ʌ̹ n
관련성	k w a̠ ʎ ʎ j ʌ̹ n s͈ ʌ̹ ŋ
관리	k w a̠ ʎ ʎ i
관리인	k w a̠ ʎ ʎ i i n
관리하다	k w a̠ ʎ ʎ i ɦ a̠ d a̠
관문	k w a̠ n m u n
관박쥐	k w a̠ n b a̠ k̚ t͡ɕ͈ ɥ i
관복	k w a̠ n b o̞ k̚
관사	k w a̠ n sʰ a̠
관성	k w a̠ n sʰ ʌ̹ ŋ
관세	k w a̠ n sʰ e̞
관심	k w a̠ n ɕʰ i m
관용구	k w a̠ ɲ j o ŋ k͈ u
관음	k w a̠ n ɯ m
관자놀이	k w a̠ ɲ d͡ʑ a̠ n o̞ ɾ i
관절	k w a̠ ɲ d͡ʑ ʌ̹ ɭ
관절염	k w a̠ ɲ d͡ʑ ʌ̹ ɾ j ʌ̹ m
관찰	k w a̠ ɲ t͡ɕʰ a̠ ɭ
관찰하다	k w a̠ ɲ t͡ɕʰ a̠ ɾ ɦ a̠ d a̠
관코박쥐	k w a̠ n kʰ o̞ b a̠ k̚ t͡ɕ͈ ɥ i
관풍금	k w a̠ n pʰ u ŋ ɡ ɯ m
관할	k w a̠ n ɦ a̠ ɭ
관현악단	k w a̠ n ʝ j ʌ̹ n a̠ k̚ t͈ a̠ n
관형사	k w a̠ n ʝ j ʌ̹ ŋ sʰ a̠
괄약근	k w a̠ ɾ j a̠ k̚ k͈ ɯ n
괄호	k w a̠ ɾ β o̞
광검	k w a̠ ŋ ɡ ʌ̹ m
광견병	k w a̠ ŋ ɡ j ʌ̹ n p͈ j ʌ̹ ŋ
광경	k w a̠ ŋ ɡ j ʌ̹ ŋ
광년	k w a̠ ŋ ɲ j ʌ̹ n
광동	k w a̠ː ŋ d o̞ ŋ
광동어	k w a̠ː ŋ d o̞ ŋ ʌ̹
광둥	k w a̠ ŋ d u ŋ
광명	k w a̠ ŋ m j ʌ̹ ŋ
광명성절	k w a̠ ŋ m j ʌ̹ ŋ sʰ ʌ̹ ŋ d͡ʑ ʌ̹ ɭ
광물	k w a̠ː ŋ m u ɭ
광부	k w a̠ː ŋ b u
광산	k w a̠ː ŋ sʰ a̠ n
광석	k w a̠ː ŋ sʰ ʌ̹ k̚
광선	k w a̠ ŋ sʰ ʌ̹ n
광시	k w a̠ ŋ ɕʰ i
광업	k w a̠ː ŋ ʌ̹ p̚
광역시	k w a̠ː ŋ j ʌ̹ k ɕ͈ i
광우병	k w a̠ ŋ u p͈ j ʌ̹ ŋ
광원	k w a̠ ŋ w ʌ̹ n
광장	k w a̠ː ŋ d͡ʑ a̠ ŋ
광초	k w a̠ ŋ t͡ɕʰ o̞
광학	k w a̠ ŋ ɦ a̠ k̚
광화문	k w a̠ ŋ β w a̠ m u n
괴기	k w e̞ ɡ i
괴다	k w e̞ː d a̠
괴담	k w e̞ː d a̠ m
괴로움	k w e̞ ɾ o̞ u m
괴롭다	k w e̞ ɾ o̞ p̚ t͈ a̠
괴뢰	k w e̞ː ɾ w e̞
괴리	k w e̞ ɾ i
괴물	k w e̞ː m u ɭ
괴수	k w e̞ː sʰ u
괴짜	k w e̞ː t͡ɕ͈ a̠
괴한	k w e̞ː ɦ a̠ n
굉장히	k w e̞ ŋ d͡ʑ a̠ ŋ ʝ i
교가	k j oː ɡ a̠
교각	k j o ɡ a̠ k̚
교거	k j o ɡ ʌ̹
교과서	k j oː k͈ w a̠ sʰ ʌ̹
교도	k j oː d o̞
교란	k j o ɾ a̠ n
교량	k j o ɾ j a̠ ŋ
교류	k j o ɾ j u
교리	k j oː ɾ i
교미	k j o m i
교복	k j oː b o̞ k̚
교수	k j oː sʰ u
교실	k j oː ɕʰ i ɭ
교양	k j oː j a̠ ŋ
교역	k j o j ʌ̹ k̚
교외	k j o w e̞
교원	k j oː w ʌ̹ n
교육	k j oː j u k̚
교육학	k j oː j u kʰ a̠ k̚
교인	k j oː i n
교장	k j oː d͡ʑ a̠ ŋ
교전	k j o d͡ʑ ʌ̹ n
교정	k j oː d͡ʑ ʌ̹ ŋ
교조	k j oː d͡ʑ o̞
교차로	k j o t͡ɕʰ a̠ ɾ o̞
교체	k j o t͡ɕʰ e̞
교체하다	k j o t͡ɕʰ e̞ ɦ a̠ d a̠
교탁	k j oː tʰ a̠ k̚
교토	k j o tʰ o̞
교통	k j o tʰ o̞ ŋ
교통사고	k j o tʰ o̞ ŋ sʰ a̠ ɡ o̞
교통요금	k j o tʰ o̞ ŋ j o ɡ ɯ m
교포	k j o pʰ o̞
교향곡	k j o ʝ j a̠ ŋ ɡ o̞ k̚
교환	k j o β w a̠ n
교활하다	k j o β w a̠ ɾ ɦ a̠ d a̠
교황	k j oː β w a̠ ŋ
교회론	k j oː β w e̞ ɾ o̞ n
구강	k uː ɡ a̠ ŋ
구결자	k uː ɡ j ʌ̹ ʎ t͡ɕ͈ a̠
구경	k uː ɡ j ʌ̹ ŋ
구경꾼	k uː ɡ j ʌ̹ ŋ k͈ u n
구경하다	k uː ɡ j ʌ̹ ŋ ɦ a̠ d a̠
구굴무치	k u ɡ u ɭ m u t͡ɕʰ i
구급차	k uː ɡ ɯ p̚ t͡ɕʰ a̠
구기자	k u ɡ i d͡ʑ a̠
구난	k uː n a̠ n
구녕	k u ɲ j ʌ̹ ŋ
구더기	k u d ʌ̹ ɡ i
구덩이	k u d ʌ̹ ŋ i
구라파	k u ɾ a̠ pʰ a̠
구렁이	k u ɾ ʌ̹ ŋ i
구레나룻	k u ɾ e̞ n a̠ ɾ u t̚
구름	k u ɾ ɯ m
구름다리	k u ɾ ɯ m d a̠ ɾ i
구마	k u m a̠
구멍	k u m ʌ̹ ŋ
구무	k u m u
구미호	k u m i β o̞
구부리다	k u b u ɾ i d a̠
구분	k u b u n
구분자	k uː b u ɲ d͡ʑ a̠
구상	k u sʰ a̠ ŋ
구성	k u sʰ ʌ̹ ŋ
구성원	k u sʰ ʌ̹ ŋ w ʌ̹ n
구성하다	k u sʰ ʌ̹ ŋ ɦ a̠ d a̠
구속	k u sʰ o̞ k̚
구슬	k u sʰ ɯ ɭ
구십	k u ɕʰ i p̚
구약	k u j a̠ k̚
구약성경	k uː j a̠ k s͈ ʌ̹ ŋ ɡ j ʌ̹ ŋ
구요	k u j o
구원	k uː w ʌ̹ n
구이	k u i
구입	k u i p̚
구입처	k u i p̚ t͡ɕʰ ʌ̹
구절	k u d͡ʑ ʌ̹ ɭ
구체적	k u t͡ɕʰ e̞ d͡ʑ ʌ̹ k̚
구축	k u t͡ɕʰ u k̚
구출	k uː t͡ɕʰ u ɭ
구취	k uː t͡ɕʰ ɥ i
구치소	k u t͡ɕʰ i sʰ o̞
구타	k u tʰ a̠
구토	k u tʰ o̞
구현	k u ʝ j ʌ̹ n
구호	k uː β o̞
구호금	k uː β o̞ ɡ ɯ m
구혼	k u β o̞ n
국가	k u k̚ k͈ a̠
국경	k u k̚ k͈ j ʌ̹ ŋ
국립	k u ŋ n i p̚
국면	k u ŋ m j ʌ̹ n
국물	k u ŋ m u ɭ
국민	k u ŋ m i n
국산	k u k s͈ a̠ n
국수주의	k u k s͈ u d͡ʑ u ɰ i
국악	k u ɡ a̠ k̚
국어	k u ɡ ʌ̹
국영	k u ɡ j ʌ̹ ŋ
국왕	k u ɡ w a̠ ŋ
국유화	k u ɡ j u β w a̠
국자	k u k̚ t͡ɕ͈ a̠
국적	k u k̚ t͡ɕ͈ ʌ̹ k̚
국제화	k u k̚ t͡ɕ͈ e̞ β w a̠
국토	k u k̚ tʰ o̞
국한문	k u kʰ a̠ n m u n
국화	k u kʰ w a̠
국회	k u kʰ w e̞
군관	k u n ɡ w a̠ n
군국주의	k u n ɡ u k̚ t͡ɕ͈ u ɰ i
군단	k u n d a̠ n
군데	k u n d e̞
군데군데	k u n d e̞ ɡ u n d e̞
군도	k u n d o̞
군만두	k uː n m a̠ n d u
군복	k u n b o̞ k̚
군소리	k uː n sʰ o̞ ɾ i
군인	k u n i n
군주제	k u ɲ d͡ʑ u d͡ʑ e̞
굳다	k u t̚ t͈ a̠
굴곡위	k u ɭ ɡ o̞ ɡ ɥ i
굴다	k u ɭ d a̠
굴뚝	k uː ɭ t͈ u k̚
굴레	k u ɭ ɭ e̞
굴비	k u ɭ b i
굴절	k u ʎ t͡ɕ͈ ʌ̹ ɭ
굴착기	k u ʎ t͡ɕʰ a̠ k̚ k͈ i
굶기다	k u m ɡ i d a̠
굼벵이	k uː m b e̞ ŋ i
굼실굼실	k u m ɕʰ i ɭ ɡ u m ɕʰ i ɭ
굼적굼적	k u m d͡ʑ ʌ̹ k̚ k͈ u m d͡ʑ ʌ̹ k̚
굽이	k u b i
굽히다	k u pʰ i d a̠
궁극적	k u ŋ ɡ ɯ k̚ t͡ɕ͈ ʌ̹ k̚
궁금하다	k u ŋ ɡ ɯ m ɦ a̠ d a̠
궁수	k u ŋ sʰ u
궁전	k u ŋ d͡ʑ ʌ̹ n
궁정	k u ŋ d͡ʑ ʌ̹ ŋ
궁중	k u ŋ d͡ʑ u ŋ
궁핍	k u ŋ pʰ i p̚
권고	k w ɘː n ɡ o̞
권당	k w ʌ̹ n d a̠ ŋ
권력	k w ɘː ʎ ʎ j ʌ̹ k̚
권리	k w ʌ̹ ʎ ʎ i
권세	k w ʌ̹ n sʰ e̞
권위	k w ʌ̹ n ɥ i
권투	k w ʌ̹ n tʰ u
궤도	k w e̞ː d o̞
궤변	k w e̞ː b j ʌ̹ n
귀걸이	k ɥ i ɡ ʌ̹ ɾ i
귀국	k ɥ iː ɡ u k̚
귀국하다	k ɥ iː ɡ u kʰ a̠ d a̠
귀뚜라미	k ɥ i t͈ u ɾ a̠ m i
귀뚤귀	k ɥ i t͈ u ɭ ɡ ɥ i
귀리	k ɥ iː ɾ i
귀신	k ɥ iː ɕʰ i n
귀양	k ɥ i j a̠ ŋ
귀엽다	k ɥ iː j ʌ̹ p̚ t͈ a̠
귀족	k ɥ i d͡ʑ o̞ k̚
귀주	k ɥ i d͡ʑ u
귀찮다	k ɥ i t͡ɕʰ a̠ n tʰ a̠
귀하다	k ɥ iː ɦ a̠ d a̠
귀환	k ɥ iː β w a̠ n
귓불	k ɥ i t̚ p͈ u ɭ
규모	k j u m o̞
규범	k j u b ʌ̹ m
규약	k j u j a̠ k̚
규율	k j u j u ɭ
규정	k j u d͡ʑ ʌ̹ ŋ
규제	k j u d͡ʑ e̞
규칙	k j u t͡ɕʰ i k̚
규칙적	k j u t͡ɕʰ i k̚ t͡ɕ͈ ʌ̹ k̚
균형	k j u n ʝ j ʌ̹ ŋ
그것	k ɯ ɡ ʌ̹ t̚
그곳	k ɯ ɡ o̞ t̚
그끄저께	k ɯ k͈ ɯ d͡ʑ ʌ̹ k͈ e̞
그날	k ɯ n a̠ ɭ
그냥	k ɯ ɲ j a̠ ŋ
그네	k ɯː n e̞
그네들	k ɯ n e̞ d ɯ ɭ
그녀들	k ɯ ɲ j ʌ̹ d ɯ ɭ
그늘	k ɯ n ɯ ɭ
그늘지다	k ɯ n ɯ ʎ d͡ʑ i d a̠
그다음	k ɯ d a̠ ɯ m
그다지	k ɯ d a̠ d͡ʑ i
그동안	k ɯ d o̞ ŋ a̠ n
그라프	k ɯ ɾ a̠ pʰ ɯ
그람	k ɯ ɾ a̠ m
그러나	k ɯ ɾ ʌ̹ n a̠
그러니까	k ɯ ɾ ʌ̹ n i k͈ a̠
그러다	k ɯ ɾ ʌ̹ d a̠
그러면	k ɯ ɾ ʌ̹ m j ʌ̹ n
그러므로	k ɯ ɾ ʌ̹ m ɯ ɾ o̞
그러하다	k ɯ ɾ ʌ̹ ɦ a̠ d a̠
그런	k ɯ ɾ ʌ̹ n
그런데	k ɯ ɾ ʌ̹ n d e̞
그럼	k ɯ ɾ ʌ̹ m
그렇게	k ɯ ɾ ʌ̹ kʰ e̞
그렇지	k ɯ ɾ ʌ̹ t͡ɕʰ i
그렇지만	k ɯ ɾ ʌ̹ t͡ɕʰ i m a̠ n
그레나다	k ɯ ɾ e̞ n a̠ d a̠
그레이프프루트	k͈ ɯ ɾ e̞ i pʰ ɯ pʰ ɯ ɾ u tʰ ɯ
그루	k ɯ ɾ u
그루지야	k ɯ ɾ u d͡ʑ i j a̠
그룹	k ɯ ɾ u p̚
그르다	k ɯ ɾ ɯ d a̠
그릇	k ɯ ɾ ɯ t̚
그릇되다	k ɯ ɾ ɯ t̚ t͈ w e̞ d a̠
그리	k ɯ ɾ i
그리고	k ɯ ɾ i ɡ o̞
그리다	k ɯː ɾ i d a̠
그리스도	k ɯ ɾ i sʰ ɯ d o̞
그리스도교	k ɯ ɾ i sʰ ɯ d o̞ ɡ j o
그리스어	k ɯ ɾ i sʰ ɯ ʌ̹
그리움	k ɯ ɾ i u m
그리워하다	k ɯ ɾ i w ʌ̹ ɦ a̠ d a̠
그린란드	k ɯ ɾ i n n a̠ n d ɯ
그림	k ɯː ɾ i m
그림자	k ɯː ɾ i m d͡ʑ a̠
그립다	k ɯ ɾ i p̚ t͈ a̠
그만	k ɯ m a̠ n
그만큼	k ɯ m a̠ n k x ɯ m
그만하다	k ɯ m a̠ n ɦ a̠ d a̠
그물	k ɯ m u ɭ
그믐	k ɯ m ɯ m
그믐날	k ɯ m ɯ m n a̠ ɭ
그야말로	k ɯ j a̠ m a̠ ɭ ɭ o̞
그윽하다	k ɯ ɯ kʰ a̠ d a̠
그저	k ɯ d͡ʑ ʌ̹
그저께	k ɯ d͡ʑ ʌ̹ k͈ e̞
그제	k ɯ d͡ʑ e̞
그중	k ɯ d͡ʑ u ŋ
그치다	k ɯ t͡ɕʰ i d a̠
그치만	k ɯ t͡ɕʰ i m a̠ n
그토록	k ɯ tʰ o̞ ɾ o̞ k̚
극단주의	k ɯ k̚ t͈ a̠ ɲ d͡ʑ u ɰ i
극동	k ɯ k̚ t͈ o̞ ŋ
극작가	k ɯ k̚ t͡ɕ͈ a̠ k̚ k͈ a̠
극장	k ɯ k̚ t͡ɕ͈ a̠ ŋ
근교	k ɯː n ɡ j o
근로자	k ɯː ɭ ɭ o̞ d͡ʑ a̠
근면	k ɯː n m j ʌ̹ n
근무	k ɯː n m u
근무하다	k ɯː n m u ɦ a̠ d a̠
근본	k ɯ n b o̞ n
근본적	k ɯ n b o̞ ɲ d͡ʑ ʌ̹ k̚
근삿값	k ɯː n sʰ a̠ t̚ k͈ a̠ p̚
근시	k ɯː n ɕʰ i
근원	k ɯ n w ʌ̹ n
근육	k ɯ ɲ j u k̚
근일점	k ɯː n i ʎ t͡ɕ͈ ʌ̹ m
근접	k ɯː ɲ d͡ʑ ʌ̹ p̚
근질근질하다	k ɯ ɲ d͡ʑ i ɭ ɡ ɯ ɲ d͡ʑ i ɾ ɦ a̠ d a̠
근처	k ɯː ɲ t͡ɕʰ ʌ̹
글꼴	k ɯ ɭ k͈ o̞ ɭ
글라스	k ɯ ɭ ɭ a̠ sʰ ɯ
글라이더	k ɯ ɭ ɭ a̠ i d ʌ̹
글루텐	k ɯ ɭ ɭ u tʰ e̞ n
글리세롤	k ɯ ʎ ʎ i sʰ e̞ ɾ o̞ ɭ
글리세린	k ɯ ʎ ʎ i sʰ e̞ ɾ i n
글쎄요	k ɯ ɭ s͈ e̞ j o
글쓰기	k ɯ ɭ s͈ ɯ ɡ i
글씨	k ɯ ɭ ɕ͈ i
글자	k ɯ ʎ t͡ɕ͈ a̠
글피	k ɯ ɭ pʰ i
긁다	k ɯ k̚ t͈ a̠
금고	k ɯ m ɡ o̞
금메달	k ɯ m m e̞ d a̠ ɭ
금방	k ɯ m b a̠ ŋ
금성	k ɯ m sʰ ʌ̹ ŋ
금속	k ɯ m sʰ o̞ k̚
금연	k ɯː m j ʌ̹ n
금요일	k ɯ m j o i ɭ
금융	k ɯ m ɲ j u ŋ
금일	k ɯ m i ɭ
금자탑	k ɯ m d͡ʑ a̠ tʰ a̠ p̚
금전	k ɯ m d͡ʑ ʌ̹ n
금지	k ɯː m d͡ʑ i
급격	k ɯ p̚ k͈ j ʌ̹ k̚
급격하다	k ɯ p̚ k͈ j ʌ̹ kʰ a̠ d a̠
급기야	k ɯ p̚ k͈ i j a̠
급료	k ɯ m ɲ j o
급습	k ɯ p s͈ ɯ p̚
급여	k ɯ b j ʌ̹
급우	k ɯ b u
급진주의	k ɯ p̚ t͡ɕ͈ i ɲ d͡ʑ u ɰ i
급하다	k ɯ pʰ a̠ d a̠
급히	k ɯ pʰ i
긋다	k ɯː t̚ t͈ a̠
긍정적	k ɯː ŋ d͡ʑ ʌ̹ ŋ d͡ʑ ʌ̹ k̚
기각	k i ɡ a̠ k̚
기간	k i ɡ a̠ n
기계	k i ɡ j e̞
기계공	k i ɡ j e̞ ɡ o̞ ŋ
기공	k i ɡ o̞ ŋ
기관	k i ɡ w a̠ n
기관차	k i ɡ w a̠ ɲ t͡ɕʰ a̠
기관총	k i ɡ w a̠ ɲ t͡ɕʰ o̞ ŋ
기근	k i ɡ ɯ n
기꺼이	k i k͈ ʌ̹ i
기녀	k iː ɲ j ʌ̹
기념관	k i ɲ j ʌ̹ m ɡ w a̠ n
기념물	k i ɲ j ʌ̹ m m u ɭ
기념일	k i ɲ j ʌ̹ m i ɭ
기념품	k i ɲ j ʌ̹ m pʰ u m
기능	k i n ɯ ŋ
기니피그	k i n i pʰ i ɡ ɯ
기도하다	k i d o̞ ɦ a̠ d a̠
기독교	k i d o̞ k̚ k͈ j o
기독교도	k i d o̞ k̚ k͈ j o d o̞
기라성	k i ɾ a̠ sʰ ʌ̹ ŋ
기러기	k i ɾ ʌ̹ ɡ i
기록	k i ɾ o̞ k̚
기록하다	k i ɾ o̞ kʰ a̠ d a̠
기르다	k i ɾ ɯ d a̠
기름	k i ɾ ɯ m
기린	k i ɾ i n
기린영양	k i ɾ i ɲ j ʌ̹ ŋ j a̠ ŋ
기마이	k i m a̠ i
기만하다	k i m a̠ n ɦ a̠ d a̠
기모노	k i m o̞ n o̞
기물	k i m u ɭ
기법	k i p͈ ʌ̹ p̚
기병	k i b j ʌ̹ ŋ
기본	k i b o̞ n
기본적	k i b o̞ ɲ d͡ʑ ʌ̹ k̚
기뻐하다	k i p͈ ʌ̹ ɦ a̠ d a̠
기쁘다	k i p͈ ɯ d a̠
기사	k i sʰ a̠
기수사	k i sʰ u sʰ a̠
기수열외	k i sʰ u j ʌ̹ ɾ w e̞
기숙사	k i sʰ u k s͈ a̠
기술	k i sʰ u ɭ
기술자	k i sʰ u ʎ t͡ɕ͈ a̠
기슭	k i sʰ ɯ k̚
기승위	k i sʰ ɯ ŋ ɥ i
기약	k i j a̠ k̚
기억	k i ʌ̹ k̚
기억나다	k i ʌ̹ ŋ n a̠ d a̠
기억력	k i ʌ̹ ŋ ɲ j ʌ̹ k̚
기억하다	k i ʌ̹ kʰ a̠ d a̠
기업	k i ʌ̹ p̚
기업가	k i ʌ̹ p̚ k͈ a̠
기업인	k i ʌ̹ b i n
기여	k i j ʌ̹
기여하다	k i j ʌ̹ ɦ a̠ d a̠
기역	k i j ʌ̹ k̚
기온	k i o̞ n
기와	k i w a̠
기운	k i u n
기울다	k i u ɭ d a̠
기울이다	k i u ɾ i d a̠
기원	k i w ʌ̹ n
기원전	k i w ʌ̹ ɲ d͡ʑ ʌ̹ n
기윽	k i ɯ k̚
기입	k i i p̚
기자	k i d͡ʑ a̠
기저	k i d͡ʑ ʌ̹
기절	k i d͡ʑ ʌ̹ ɭ
기준	k i d͡ʑ u n
기중기	k i d͡ʑ u ŋ ɡ i
기지	k i d͡ʑ i
기차	k i t͡ɕʰ a̠
기체	k i t͡ɕʰ e̞
기총	k i t͡ɕʰ o̞ ŋ
기치	k i t͡ɕʰ i
기침	k i t͡ɕʰ i m
기타	k i tʰ a̠
기한	k i ɦ a̠ n
기합	k i ɦ a̠ p̚
기호	k i β o̞
기회주의자	k i β w e̞ d͡ʑ u ɰ i d͡ʑ a̠
기후	k i β u
긴꼬리꼬마쥐	k i n k͈ o̞ ɾ i k͈ o̞ m a̠ d͡ʑ ɥ i
긴장	k i ɲ d͡ʑ a̠ ŋ
긷다	k iː t̚ t͈ a̠
길가	k i ɭ ɡ a̠
길거리	k i ɭ k͈ ʌ̹ ɾ i
길냥이	k iː ʎ ʎ j a̠ ŋ i
길다	k iː ɭ d a̠
길이	k i ɾ i
김일성화	k i m i ɭ sʰ ʌ̹ ŋ β w a̠
김장	k i m d͡ʑ a̠ ŋ
김정일화	k i m d͡ʑ ʌ̹ ŋ i ɾ β w a̠
김치	k i m t͡ɕʰ i
김치전	k i m t͡ɕʰ i d͡ʑ ʌ̹ n
깃발	k i t̚ p͈ a̠ ɭ
깇다	k i t̚ t͈ a̠
깊다	k i p̚ t͈ a̠
깊이	k i pʰ i
까닭	k͈ a̠ d a̠ k̚
까딸로그	k͈ a̠ t͈ a̠ ɭ ɭ o̞ ɡ ɯ
까마귀	k͈ a̠ m a̠ ɡ ɥ i
까막눈	k͈ a̠ m a̠ ŋ n u n
까맣다	k͈ a̠ː m a̠ tʰ a̠
까벨	k͈ a̠ b e̞ ɭ
까불다	k͈ a̠ b u ɭ d a̠
까지	k͈ a̠ d͡ʑ i
까치	k͈ a̠ t͡ɕʰ i
까치복	k͈ a̠ː t͡ɕʰ i b o̞ k̚
까히라	k͈ a̠ ʝ i ɾ a̠
깍두기	k͈ a̠ k̚ t͈ u ɡ i
깎다	k͈ a̠ k̚ t͈ a̠
깔끔하다	k͈ a̠ ɭ k͈ ɯ m ɦ a̠ d a̠
깔리다	k͈ a̠ ʎ ʎ i d a̠
깜박	k͈ a̠ m b a̠ k̚
깜박깜박	k͈ a̠ m b a̠ k̚ k͈ a̠ m b a̠ k̚
